miRNA--mRNA,302588
mRNA--mRNA,212202
mRNA--pseudogene,78452
miRNA--pseudogene,71971
pseudogene--pseudogene,43480
miRNA--miRNA,37855
miRNA--pr-tr,7750
mRNA--tRNA,7090
mRNA--pr-tr,5995
pseudogene--tRNA,3773
miRNA--tRNA,2988
miRNA--snRNA,2835
miRNA--miscRNA,2394
pr-tr--pseudogene,2193
mRNA--miscRNA,2103
pr-tr--pr-tr,1982
miscRNA--pseudogene,1536
mRNA--snRNA,1445
miRNA--snoRNA,1285
pseudogene--snRNA,1228
miRNA--lincRNA,965
mRNA--snoRNA,901
lincRNA--mRNA,896
pseudogene--snoRNA,750
snoRNA--snoRNA,602
miscRNA--miscRNA,413
lincRNA--pseudogene,380
snRNA--snRNA,364
pr-tr--tRNA,163
lincRNA--pr-tr,95
tRNA--tRNA,81
snRNA--tRNA,75
miscRNA--pr-tr,72
pr-tr--snRNA,63
pr-tr--snoRNA,58
miscRNA--tRNA,54
lincRNA--lincRNA,45
snRNA--snoRNA,37
snoRNA--tRNA,27
miscRNA--snoRNA,25
lincRNA--tRNA,23
lincRNA--snRNA,13
KSHV-miRNA--pseudogene,13
miscRNA--snRNA,13
KSHV-miRNA--mRNA,12
Ig--mRNA,11
lincRNA--snoRNA,8
KSHV-miRNA--miRNA,3
miRNA--KSHV-miRNA,2
lincRNA--miscRNA,1
miRNA--Ig,1
KSHV-miRNA--KSHV-miRNA,1
