miRNA--mRNA,164704
mRNA--mRNA,129006
miRNA--pseudogene,52888
pseudogene--pseudogene,39212
mRNA--pseudogene,28426
miRNA--miRNA,22012
pseudogene--mRNA,21426
mRNA--miRNA,8795
miRNA--pr-tr,4143
pseudogene--miRNA,3143
tRNA--mRNA,2576
tRNA--pseudogene,2489
mRNA--pr-tr,1622
pr-tr--mRNA,1615
miRNA--snRNA,1553
pr-tr--pr-tr,1513
miRNA--tRNA,1267
miRNA--miscRNA,1053
miRNA--snoRNA,717
pr-tr--pseudogene,707
pseudogene--snRNA,697
miscRNA--mRNA,654
miscRNA--pseudogene,642
snoRNA--snoRNA,623
pseudogene--pr-tr,569
mRNA--snRNA,544
pseudogene--tRNA,516
snRNA--pseudogene,479
miRNA--lincRNA,472
mRNA--tRNA,440
snRNA--mRNA,381
tRNA--miRNA,360
snoRNA--pseudogene,359
pr-tr--miRNA,320
pseudogene--miscRNA,297
snoRNA--mRNA,289
mRNA--miscRNA,285
snRNA--snRNA,240
lincRNA--mRNA,236
miscRNA--miscRNA,207
mRNA--snoRNA,192
pseudogene--snoRNA,174
miscRNA--miRNA,154
lincRNA--pseudogene,143
mRNA--lincRNA,130
snRNA--miRNA,117
snoRNA--miRNA,105
pseudogene--lincRNA,87
lincRNA--lincRNA,71
lincRNA--miRNA,65
pr-tr--tRNA,55
miscRNA--pr-tr,38
KSHV-miRNA--pseudogene,37
snoRNA--pr-tr,36
snRNA--miscRNA,34
pr-tr--lincRNA,29
lincRNA--pr-tr,29
tRNA--pr-tr,28
KSHV-miRNA--mRNA,21
tRNA--snoRNA,19
miRNA--KSHV-miRNA,17
tRNA--tRNA,16
pr-tr--snoRNA,14
pr-tr--miscRNA,13
snoRNA--tRNA,12
snRNA--pr-tr,11
miscRNA--tRNA,8
snoRNA--snRNA,8
snRNA--snoRNA,7
lincRNA--snoRNA,6
pr-tr--snRNA,6
KSHV-miRNA--miRNA,6
tRNA--lincRNA,5
tRNA--snRNA,5
miRNA--Ig,4
snoRNA--lincRNA,3
snoRNA--miscRNA,3
lincRNA--miscRNA,3
lincRNA--snRNA,3
Ig--mRNA,3
miscRNA--snRNA,1
KSHV-miRNA--KSHV-miRNA,1
lincRNA--tRNA,1
