miRNA--mRNA,300383
mRNA--mRNA,163926
miRNA--pseudogene,60269
mRNA--pseudogene,35515
miRNA--miRNA,29350
pseudogene--mRNA,28757
pseudogene--pseudogene,28222
mRNA--miRNA,15621
miRNA--pr-tr,7095
KSHV-miRNA--mRNA,6763
tRNA--mRNA,4113
pseudogene--miRNA,3773
tRNA--pseudogene,2553
pr-tr--mRNA,2473
mRNA--pr-tr,2164
KSHV-miRNA--pseudogene,1993
miRNA--tRNA,1642
miRNA--miscRNA,1569
miRNA--snRNA,1444
pr-tr--pr-tr,1210
pr-tr--pseudogene,1044
miscRNA--mRNA,1027
miRNA--lincRNA,864
mRNA--tRNA,836
KSHV-miRNA--miRNA,799
miRNA--KSHV-miRNA,779
miRNA--snoRNA,774
pseudogene--pr-tr,693
snoRNA--mRNA,621
miscRNA--pseudogene,614
mRNA--KSHV-miRNA,573
tRNA--miRNA,536
pseudogene--tRNA,532
snoRNA--snoRNA,520
pr-tr--miRNA,482
lincRNA--mRNA,479
mRNA--snRNA,463
pseudogene--snRNA,435
snoRNA--pseudogene,404
mRNA--miscRNA,363
snRNA--pseudogene,356
snRNA--mRNA,349
mRNA--lincRNA,309
pseudogene--miscRNA,261
miscRNA--miRNA,210
miscRNA--miscRNA,192
pseudogene--KSHV-miRNA,188
mRNA--snoRNA,161
KSHV-miRNA--pr-tr,153
lincRNA--pseudogene,150
pseudogene--lincRNA,144
snoRNA--miRNA,141
pseudogene--snoRNA,119
lincRNA--miRNA,114
snRNA--miRNA,103
KSHV-miRNA--snRNA,96
tRNA--pr-tr,82
snRNA--snRNA,73
tRNA--tRNA,59
lincRNA--lincRNA,56
KSHV-miRNA--KSHV-miRNA,48
miscRNA--pr-tr,41
lincRNA--pr-tr,40
KSHV-miRNA--tRNA,39
KSHV-miRNA--miscRNA,31
pr-tr--lincRNA,28
snoRNA--pr-tr,22
pr-tr--tRNA,17
tRNA--snRNA,13
snRNA--snoRNA,13
KSHV-miRNA--snoRNA,12
pr-tr--snRNA,11
snRNA--pr-tr,11
miscRNA--snRNA,10
tRNA--lincRNA,9
KSHV-miRNA--lincRNA,8
tRNA--KSHV-miRNA,7
tRNA--miscRNA,7
pr-tr--KSHV-miRNA,5
pr-tr--snoRNA,5
mRNA--Ig,4
lincRNA--tRNA,4
tRNA--snoRNA,3
lincRNA--KSHV-miRNA,3
snoRNA--snRNA,3
pr-tr--miscRNA,3
snoRNA--lincRNA,3
snRNA--KSHV-miRNA,3
snoRNA--KSHV-miRNA,2
snoRNA--tRNA,2
lincRNA--snoRNA,1
miRNA--Ig,1
mRNA--Trec,1
miscRNA--KSHV-miRNA,1
miscRNA--lincRNA,1
miscRNA--snoRNA,1
Trec--miRNA,1
miscRNA--tRNA,1
lincRNA--miscRNA,1
