miRNA--mRNA,316004
mRNA--mRNA,163926
mRNA--pseudogene,64272
miRNA--pseudogene,64042
miRNA--miRNA,29350
pseudogene--pseudogene,28222
miRNA--pr-tr,7577
KSHV-miRNA--mRNA,7336
mRNA--tRNA,4949
mRNA--pr-tr,4637
pseudogene--tRNA,3085
KSHV-miRNA--pseudogene,2181
miRNA--tRNA,2178
miRNA--miscRNA,1779
pr-tr--pseudogene,1737
miRNA--snRNA,1547
mRNA--miscRNA,1390
pr-tr--pr-tr,1210
miRNA--lincRNA,978
miRNA--snoRNA,915
miscRNA--pseudogene,875
mRNA--snRNA,812
KSHV-miRNA--miRNA,799
pseudogene--snRNA,791
lincRNA--mRNA,788
mRNA--snoRNA,782
miRNA--KSHV-miRNA,779
pseudogene--snoRNA,523
snoRNA--snoRNA,520
lincRNA--pseudogene,294
miscRNA--miscRNA,192
KSHV-miRNA--pr-tr,158
pr-tr--tRNA,99
KSHV-miRNA--snRNA,99
snRNA--snRNA,73
lincRNA--pr-tr,68
tRNA--tRNA,59
lincRNA--lincRNA,56
KSHV-miRNA--KSHV-miRNA,48
KSHV-miRNA--tRNA,46
miscRNA--pr-tr,44
KSHV-miRNA--miscRNA,32
pr-tr--snoRNA,27
pr-tr--snRNA,22
snRNA--snoRNA,16
KSHV-miRNA--snoRNA,14
snRNA--tRNA,13
lincRNA--tRNA,13
KSHV-miRNA--lincRNA,11
miscRNA--snRNA,10
miscRNA--tRNA,8
snoRNA--tRNA,5
lincRNA--snoRNA,4
Ig--mRNA,4
lincRNA--miscRNA,2
miRNA--Ig,1
Trec--mRNA,1
miscRNA--snoRNA,1
miRNA--Trec,1
