mRNA--miRNA,443549
mRNA--mRNA,133594
miRNA--miRNA,91326
miRNA--pseudogene,80768
mRNA--pseudogene,46297
KSHV-miRNA--mRNA,26922
pseudogene--pseudogene,22100
KSHV-miRNA--miRNA,12240
KSHV-miRNA--pseudogene,7056
miRNA--pr-tr,6701
mRNA--pr-tr,2497
mRNA--tRNA,2409
miRNA--tRNA,1915
miRNA--snoRNA,1697
miRNA--miscRNA,1314
lincRNA--miRNA,1241
pseudogene--tRNA,1141
miRNA--snRNA,1098
mRNA--miscRNA,868
mRNA--snoRNA,830
pr-tr--pseudogene,729
pr-tr--pr-tr,631
KSHV-miRNA--KSHV-miRNA,589
lincRNA--mRNA,550
miscRNA--pseudogene,526
pseudogene--snoRNA,495
KSHV-miRNA--pr-tr,446
mRNA--snRNA,325
KSHV-miRNA--tRNA,242
snoRNA--snoRNA,182
lincRNA--pseudogene,176
pseudogene--snRNA,170
KSHV-miRNA--snRNA,105
KSHV-miRNA--snoRNA,90
KSHV-miRNA--lincRNA,80
lincRNA--lincRNA,74
KSHV-miRNA--miscRNA,64
miscRNA--miscRNA,58
pr-tr--tRNA,41
tRNA--tRNA,36
lincRNA--pr-tr,34
snRNA--snRNA,23
miscRNA--pr-tr,18
pr-tr--snoRNA,12
snRNA--snoRNA,11
Ig--miRNA,10
snoRNA--tRNA,8
lincRNA--snoRNA,7
Ig--mRNA,5
miscRNA--tRNA,4
snRNA--tRNA,4
lincRNA--tRNA,4
lincRNA--miscRNA,3
pr-tr--snRNA,3
miscRNA--snRNA,3
miscRNA--snoRNA,3
Ig--pseudogene,1
Trec--mRNA,1
Ig--KSHV-miRNA,1
