mirna,mirna_type,target,target_type,count
kshv-miR-K12-4-5p,KSHV-miRNA,MIMAT0000078_MirBase_miR-23a_microRNA,miRNA,2
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000075223_ENST00000265361_SEMA3C_mRNA,mRNA,2
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000075223_ENST00000419255_SEMA3C_mRNA,mRNA,2
kshv-miR-K12-4-5p,KSHV-miRNA,kshv-miR-K12-4-3p,KSHV-miRNA,2
kshv-miR-K12-4-5p,KSHV-miRNA,MIMAT0000062_MirBase_let-7a_microRNA,miRNA,2
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000064393_ENST00000406875_HIPK2_mRNA,mRNA,2
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000101444_ENST00000217426_AHCY_mRNA,mRNA,1
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000125966_ENST00000246186_MMP24_mRNA,mRNA,1
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000148773_ENST00000368654_MKI67_mRNA,mRNA,1
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000241376_ENST00000492060_AL606830-1_pseudo,pseudogene,1
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000154914_ENST00000285199_USP43_mRNA,mRNA,1
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000090615_ENST00000204726_GOLGA3_mRNA,mRNA,1
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000172831_ENST00000417689_CES2_mRNA,mRNA,1
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000172831_ENST00000317091_CES2_mRNA,mRNA,1
kshv-miR-K12-4-5p,KSHV-miRNA,MIMAT0003239_MirBase_miR-574-3p_microRNA,miRNA,1
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000164808_ENST00000297423_KIAA0146_mRNA,mRNA,1
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000180900_ENST00000356994_SCRIB_mRNA,mRNA,1
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000180900_ENST00000320476_SCRIB_mRNA,mRNA,1
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000145555_ENST00000513610_MYO10_mRNA,mRNA,1
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000105329_ENST00000221930_TGFB1_mRNA,mRNA,1
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000112514_ENST00000374500_CUTA_mRNA,mRNA,1
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000112514_ENST00000374496_CUTA_mRNA,mRNA,1
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000112514_ENST00000440279_CUTA_mRNA,mRNA,1
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000226492_ENST00000440930_CUTA_mRNA,mRNA,1
kshv-miR-K12-4-5p,KSHV-miRNA,ENSG00000136068_ENST00000490882_FLNB_mRNA,mRNA,1
