mirna,mirna_type,target,target_type,count
kshv-miR-K12-8,KSHV-miRNA,MIMAT0000244_MirBase_miR-30c_microRNA,miRNA,50
kshv-miR-K12-8,KSHV-miRNA,ENSG00000240831_ENST00000459949_AC112777-1_pseudo,pseudogene,15
kshv-miR-K12-8,KSHV-miRNA,ENSG00000138095_ENST00000260665_LRPPRC_mRNA,mRNA,13
kshv-miR-K12-8,KSHV-miRNA,ENSG00000241780_ENST00000469340_AC025627-7_pseudo,pseudogene,8
kshv-miR-K12-8,KSHV-miRNA,ENSG00000240155_ENST00000482877_AC114498-1_pseudo,pseudogene,8
kshv-miR-K12-8,KSHV-miRNA,ENSG00000134775_ENST00000257209_FHOD3_mRNA,mRNA,8
kshv-miR-K12-8,KSHV-miRNA,ENSG00000105640_ENST00000222247_RPL18A_mRNA,mRNA,7
kshv-miR-K12-8,KSHV-miRNA,ENSG00000243163_ENST00000470405_AL353147-3_pseudo,pseudogene,7
kshv-miR-K12-8,KSHV-miRNA,ENSG00000239935_ENST00000489202_AC116340-1_pseudo,pseudogene,7
kshv-miR-K12-8,KSHV-miRNA,ENSG00000241279_ENST00000464639_AC110615-2_pseudo,pseudogene,6
kshv-miR-K12-8,KSHV-miRNA,ENSG00000186298_ENST00000335007_PPP1CC_mRNA,mRNA,6
kshv-miR-K12-8,KSHV-miRNA,ENSG00000242503_ENST00000481774_AL158819-4_pseudo,pseudogene,6
kshv-miR-K12-8,KSHV-miRNA,ENSG00000242693_ENST00000492032_AC108047-1_pseudo,pseudogene,5
kshv-miR-K12-8,KSHV-miRNA,MIMAT0000076_MirBase_miR-21_microRNA,miRNA,4
kshv-miR-K12-8,KSHV-miRNA,ENSG00000244548_ENST00000493731_AP000555-2_pseudo,pseudogene,4
kshv-miR-K12-8,KSHV-miRNA,ENSG00000225470_ENST00000453317_NCRNA00183_pr-tr,pr-tr,4
kshv-miR-K12-8,KSHV-miRNA,ENSG00000225470_ENST00000415215_NCRNA00183_pr-tr,pr-tr,4
kshv-miR-K12-8,KSHV-miRNA,ENSG00000225470_ENST00000414209_NCRNA00183_pr-tr,pr-tr,4
kshv-miR-K12-8,KSHV-miRNA,ENSG00000177981_ENST00000317697_ASB8_mRNA,mRNA,4
kshv-miR-K12-8,KSHV-miRNA,MIMAT0002819_MirBase_miR-193b_microRNA,miRNA,4
kshv-miR-K12-8,KSHV-miRNA,kshv-miR-K12-9*,KSHV-miRNA,4
kshv-miR-K12-8,KSHV-miRNA,ENSG00000140931_ENST00000360086_CMTM3_mRNA,mRNA,4
kshv-miR-K12-8,KSHV-miRNA,ENSG00000140931_ENST00000424011_CMTM3_mRNA,mRNA,4
kshv-miR-K12-8,KSHV-miRNA,ENSG00000140931_ENST00000394108_CMTM3_mRNA,mRNA,4
kshv-miR-K12-8,KSHV-miRNA,ENSG00000140931_ENST00000361909_CMTM3_mRNA,mRNA,4
kshv-miR-K12-8,KSHV-miRNA,MIMAT0003218_MirBase_miR-92b_microRNA,miRNA,3
kshv-miR-K12-8,KSHV-miRNA,ENSG00000141279_ENST00000322157_NPEPPS_mRNA,mRNA,3
kshv-miR-K12-8,KSHV-miRNA,ENSG00000241376_ENST00000492060_AL606830-1_pseudo,pseudogene,3
kshv-miR-K12-8,KSHV-miRNA,ENSG00000221869_ENST00000408965_CEBPD_mRNA,mRNA,3
