mirna,mirna_type,target,target_type,count
kshv-miR-K12-2,KSHV-miRNA,ENSG00000240155_ENST00000482877_AC114498-1_pseudo,pseudogene,65
kshv-miR-K12-2,KSHV-miRNA,ENSG00000241780_ENST00000469340_AC025627-7_pseudo,pseudogene,65
kshv-miR-K12-2,KSHV-miRNA,ENSG00000243163_ENST00000470405_AL353147-3_pseudo,pseudogene,52
kshv-miR-K12-2,KSHV-miRNA,ENSG00000242503_ENST00000481774_AL158819-4_pseudo,pseudogene,46
kshv-miR-K12-2,KSHV-miRNA,MIMAT0003218_MirBase_miR-92b_microRNA,miRNA,32
kshv-miR-K12-2,KSHV-miRNA,ENSG00000131469_ENST00000253788_RPL27_mRNA,mRNA,28
kshv-miR-K12-2,KSHV-miRNA,ENSG00000173915_ENST00000337003_USMG5_mRNA,mRNA,25
kshv-miR-K12-2,KSHV-miRNA,ENSG00000173915_ENST00000369825_USMG5_mRNA,mRNA,25
kshv-miR-K12-2,KSHV-miRNA,ENSG00000008394_ENST00000396210_MGST1_mRNA,mRNA,23
kshv-miR-K12-2,KSHV-miRNA,ENSG00000008394_ENST00000396209_MGST1_mRNA,mRNA,23
kshv-miR-K12-2,KSHV-miRNA,ENSG00000008394_ENST00000010404_MGST1_mRNA,mRNA,23
kshv-miR-K12-2,KSHV-miRNA,ENSG00000008394_ENST00000396207_MGST1_mRNA,mRNA,23
kshv-miR-K12-2,KSHV-miRNA,MIMAT0000222_MirBase_miR-192_microRNA,miRNA,22
kshv-miR-K12-2,KSHV-miRNA,MIMAT0000076_MirBase_miR-21_microRNA,miRNA,20
kshv-miR-K12-2,KSHV-miRNA,ENSG00000140829_ENST00000268482_DHX38_mRNA,mRNA,19
kshv-miR-K12-2,KSHV-miRNA,ENSG00000222328_ENST00000410396_U2_snRNA,snRNA,18
kshv-miR-K12-2,KSHV-miRNA,ENSG00000240831_ENST00000459949_AC112777-1_pseudo,pseudogene,17
kshv-miR-K12-2,KSHV-miRNA,ENSG00000242517_ENST00000498581_AC018607-1_pseudo,pseudogene,16
kshv-miR-K12-2,KSHV-miRNA,ENSG00000135387_ENST00000389645_CAPRIN1_mRNA,mRNA,15
kshv-miR-K12-2,KSHV-miRNA,ENSG00000135387_ENST00000341394_CAPRIN1_mRNA,mRNA,15
kshv-miR-K12-2,KSHV-miRNA,MIMAT0000279_MirBase_miR-222_microRNA,miRNA,15
kshv-miR-K12-2,KSHV-miRNA,ENSG00000113580_ENST00000424646_NR3C1_mRNA,mRNA,14
