mirna,mirna_type,target,target_type,count
kshv-miR-K12-3*,KSHV-miRNA,kshv-miR-K12-3,KSHV-miRNA,64
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000242927_ENST00000492114_AC073308-1_pseudo,pseudogene,11
kshv-miR-K12-3*,KSHV-miRNA,MIMAT0000087_MirBase_miR-30a_microRNA,miRNA,7
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000167996_ENST00000273550_FTH1_mRNA,mRNA,4
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000134874_ENST00000361396_DZIP1_mRNA,mRNA,3
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000134874_ENST00000376829_DZIP1_mRNA,mRNA,3
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000134874_ENST00000361156_DZIP1_mRNA,mRNA,3
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000134874_ENST00000347108_DZIP1_mRNA,mRNA,3
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000167996_ENST00000406545_FTH1_mRNA,mRNA,3
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000223361_ENST00000401830_FTHL10_pr-tr,pr-tr,3
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000087086_ENST00000331825_FTL_mRNA,mRNA,3
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000240831_ENST00000459949_AC112777-1_pseudo,pseudogene,3
kshv-miR-K12-3*,KSHV-miRNA,MIMAT0000270_MirBase_miR-181a*_microRNA,miRNA,2
kshv-miR-K12-3*,KSHV-miRNA,ENSG_ENST_chr1-trna111-HisGTG_tRNA,tRNA,2
kshv-miR-K12-3*,KSHV-miRNA,MIMAT0000086_MirBase_miR-29a_microRNA,miRNA,2
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000241781_ENST00000463508_AL161626-1_pseudo,pseudogene,2
kshv-miR-K12-3*,KSHV-miRNA,MIMAT0000267_MirBase_miR-210_microRNA,miRNA,2
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000150316_ENST00000279839_CWC15_mRNA,mRNA,1
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000116001_ENST00000433529_TIA1_mRNA,mRNA,1
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000116001_ENST00000415783_TIA1_mRNA,mRNA,1
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000101150_ENST00000358548_TPD52L2_mRNA,mRNA,1
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000101150_ENST00000217121_TPD52L2_mRNA,mRNA,1
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000101150_ENST00000351424_TPD52L2_mRNA,mRNA,1
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000101150_ENST00000352482_TPD52L2_mRNA,mRNA,1
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000101150_ENST00000348257_TPD52L2_mRNA,mRNA,1
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000101150_ENST00000346249_TPD52L2_mRNA,mRNA,1
kshv-miR-K12-3*,KSHV-miRNA,ENSG00000005007_ENST00000262803_UPF1_mRNA,mRNA,1
