hybrid_type,count
miRNA-mRNA,173499
mRNA-mRNA,129006
miRNA-pseudogene,56031
mRNA-pseudogene,49852
pseudogene-pseudogene,39212
miRNA-miRNA,22012
miRNA-pr-tr,4463
mRNA-pr-tr,3237
mRNA-tRNA,3016
pseudogene-tRNA,3005
miRNA-mitoch-rRNA,2563
miRNA-snRNA,1670
miRNA-tRNA,1627
pr-tr-pr-tr,1513
pr-tr-pseudogene,1276
mitoch-rRNA-pseudogene,1247
mRNA-mitoch-rRNA,1238
miRNA-miscRNA,1207
pseudogene-snRNA,1176
miscRNA-pseudogene,939
mRNA-miscRNA,939
mRNA-snRNA,925
miRNA-snoRNA,822
snoRNA-snoRNA,623
miRNA-lincRNA,537
pseudogene-snoRNA,533
mRNA-snoRNA,481
lincRNA-mRNA,366
mitoch-rRNA-mitoch-rRNA,275
snRNA-snRNA,240
lincRNA-pseudogene,230
miscRNA-miscRNA,207
pr-tr-tRNA,83
mitoch-rRNA-tRNA,72
lincRNA-lincRNA,71
lincRNA-pr-tr,58
mitoch-rRNA-pr-tr,53
miscRNA-pr-tr,51
pr-tr-snoRNA,50
miscRNA-mitoch-rRNA,46
kshv-miRNA-pseudogene,37
mitoch-rRNA-snRNA,36
miscRNA-snRNA,35
snoRNA-tRNA,31
miRNA-kshv-miRNA,23
kshv-miRNA-mRNA,21
pr-tr-snRNA,17
mitoch-rRNA-snoRNA,16
tRNA-tRNA,16
snRNA-snoRNA,15
lincRNA-snoRNA,9
miscRNA-tRNA,8
lincRNA-tRNA,6
snRNA-tRNA,5
miRNA-Ig,4
lincRNA-mitoch-rRNA,4
miscRNA-snoRNA,3
lincRNA-miscRNA,3
lincRNA-snRNA,3
Ig-mRNA,3
kshv-miRNA-kshv-miRNA,1
