hybrid_type,count
miRNA-mRNA,651388
mRNA-mRNA,435416
miRNA-pseudogene,179492
mRNA-pseudogene,167737
pseudogene-pseudogene,107424
miRNA-miRNA,87061
miRNA-pr-tr,16710
mRNA-tRNA,13228
mRNA-pr-tr,11711
pseudogene-tRNA,9517
miRNA-tRNA,6829
miRNA-snRNA,5702
miRNA-miscRNA,4883
pr-tr-pseudogene,4595
pr-tr-pr-tr,4296
mRNA-miscRNA,3751
miscRNA-pseudogene,3187
pseudogene-snRNA,2946
mRNA-snRNA,2784
miRNA-snoRNA,2643
miRNA-lincRNA,2022
mRNA-snoRNA,1726
pseudogene-snoRNA,1644
lincRNA-mRNA,1612
snoRNA-snoRNA,1558
miscRNA-miscRNA,771
lincRNA-pseudogene,763
snRNA-snRNA,669
pr-tr-tRNA,287
lincRNA-pr-tr,190
tRNA-tRNA,176
miscRNA-pr-tr,153
pr-tr-snoRNA,138
lincRNA-lincRNA,137
pr-tr-snRNA,94
snRNA-tRNA,84
miscRNA-tRNA,79
snoRNA-tRNA,62
snRNA-snoRNA,61
kshv_microRNA-pseudogene,56
miscRNA-snRNA,54
kshv_microRNA-mRNA,52
lincRNA-tRNA,36
miscRNA-snoRNA,34
miRNA-kshv_microRNA,31
lincRNA-snRNA,21
lincRNA-snoRNA,20
Ig-mRNA,14
lincRNA-miscRNA,9
miRNA-Ig,5
kshv_microRNA-kshv_microRNA,2
