hybrid_type,count
miRNA-mRNA,246852
mRNA-mRNA,135482
miRNA-pseudogene,42614
mRNA-pseudogene,36601
miRNA-miRNA,25460
kshv-miRNA-mRNA,16150
pseudogene-pseudogene,10738
miRNA-pr-tr,5930
mRNA-pr-tr,3945
mRNA-tRNA,3712
miRNA-kshv-miRNA,3078
kshv-miRNA-pseudogene,2971
pseudogene-tRNA,1859
miRNA-tRNA,1664
miRNA-miscRNA,1449
miRNA-mitoch-rRNA,1119
miRNA-snRNA,1068
pr-tr-pr-tr,1032
mRNA-miscRNA,967
pr-tr-pseudogene,917
miRNA-lincRNA,647
mRNA-snRNA,541
mRNA-snoRNA,530
mRNA-mitoch-rRNA,466
kshv-miRNA-pr-tr,460
lincRNA-mRNA,441
miRNA-snoRNA,437
miscRNA-pseudogene,400
mitoch-rRNA-pseudogene,261
pseudogene-snoRNA,218
pseudogene-snRNA,187
kshv-miRNA-tRNA,183
kshv-miRNA-snRNA,162
snoRNA-snoRNA,144
kshv-miRNA-kshv-miRNA,122
lincRNA-pseudogene,120
miscRNA-miscRNA,116
mitoch-rRNA-mitoch-rRNA,106
pr-tr-tRNA,93
kshv-miRNA-mitoch-rRNA,77
tRNA-tRNA,76
kshv-miRNA-lincRNA,37
kshv-miRNA-miscRNA,36
lincRNA-pr-tr,33
lincRNA-lincRNA,32
snRNA-snRNA,27
miscRNA-pr-tr,23
kshv-miRNA-snoRNA,20
snRNA-tRNA,20
mitoch-rRNA-tRNA,19
mitoch-rRNA-pr-tr,17
miscRNA-snRNA,12
pr-tr-snoRNA,8
miscRNA-mitoch-rRNA,7
pr-tr-snRNA,7
mitoch-rRNA-snRNA,5
miRNA-Ig,4
lincRNA-tRNA,4
mitoch-rRNA-snoRNA,3
lincRNA-snoRNA,3
lincRNA-mitoch-rRNA,2
snRNA-snoRNA,2
Ig-kshv-miRNA,1
snoRNA-tRNA,1
