hybrid_type,count
miRNA-mRNA,1454170
mRNA-mRNA,892957
miRNA-pseudogene,335813
mRNA-pseudogene,296017
miRNA-miRNA,183308
pseudogene-pseudogene,154541
kshv_microRNA-mRNA,48598
miRNA-pr-tr,37030
mRNA-tRNA,25392
mRNA-pr-tr,24239
pseudogene-tRNA,15642
miRNA-tRNA,13004
miRNA-kshv_microRNA,12884
kshv_microRNA-pseudogene,12004
miRNA-miscRNA,10195
miRNA-snRNA,8953
pr-tr-pr-tr,7989
pr-tr-pseudogene,7658
mRNA-miscRNA,7345
miscRNA-pseudogene,5126
miRNA-snoRNA,4777
mRNA-snRNA,4378
miRNA-lincRNA,4337
pseudogene-snRNA,3668
mRNA-snoRNA,3436
lincRNA-mRNA,3348
pseudogene-snoRNA,2605
snoRNA-snoRNA,1912
kshv_microRNA-pr-tr,1369
lincRNA-pseudogene,1253
miscRNA-miscRNA,1147
snRNA-snRNA,802
kshv_microRNA-tRNA,726
kshv_microRNA-kshv_microRNA,594
pr-tr-tRNA,552
tRNA-tRNA,446
kshv_microRNA-snRNA,386
lincRNA-pr-tr,313
lincRNA-lincRNA,259
miscRNA-pr-tr,241
kshv_microRNA-miscRNA,234
pr-tr-snoRNA,168
kshv_microRNA-lincRNA,152
pr-tr-snRNA,115
miscRNA-tRNA,111
snRNA-tRNA,108
kshv_microRNA-snoRNA,105
snRNA-snoRNA,99
snoRNA-tRNA,86
miscRNA-snRNA,74
lincRNA-tRNA,57
miscRNA-snoRNA,49
Ig-mRNA,32
lincRNA-snoRNA,28
lincRNA-snRNA,21
miRNA-Ig,17
lincRNA-miscRNA,15
Ig-pseudogene,1
Trec-mRNA,1
Ig-kshv_microRNA,1
