hybrid_type,count
miRNA-mRNA,2086392
mRNA-mRNA,1244911
miRNA-pseudogene,473963
mRNA-pseudogene,444923
miRNA-miRNA,247049
pseudogene-pseudogene,217580
kshv_microRNA-mRNA,62609
miRNA-pr-tr,52546
mRNA-tRNA,37612
mRNA-pr-tr,34856
pseudogene-tRNA,23286
miRNA-tRNA,18170
kshv_microRNA-pseudogene,16356
miRNA-kshv_microRNA,16016
miRNA-miscRNA,13894
miRNA-snRNA,12108
pr-tr-pseudogene,11590
pr-tr-pr-tr,10594
mRNA-miscRNA,10415
miscRNA-pseudogene,7397
miRNA-snoRNA,6451
miRNA-lincRNA,6217
mRNA-snRNA,6088
pseudogene-snRNA,5273
lincRNA-mRNA,4993
mRNA-snoRNA,4978
pseudogene-snoRNA,3609
snoRNA-snoRNA,2755
lincRNA-pseudogene,1911
kshv_microRNA-pr-tr,1687
miscRNA-miscRNA,1580
snRNA-snRNA,947
kshv_microRNA-tRNA,868
pr-tr-tRNA,832
kshv_microRNA-kshv_microRNA,684
tRNA-tRNA,660
kshv_microRNA-snRNA,572
lincRNA-pr-tr,455
miscRNA-pr-tr,406
lincRNA-lincRNA,357
kshv_microRNA-miscRNA,290
pr-tr-snoRNA,206
kshv_microRNA-lincRNA,178
snRNA-tRNA,168
miscRNA-tRNA,162
kshv_microRNA-snoRNA,157
pr-tr-snRNA,143
snRNA-snoRNA,127
lincRNA-tRNA,110
snoRNA-tRNA,106
miscRNA-snRNA,94
miscRNA-snoRNA,53
Ig-mRNA,38
lincRNA-snoRNA,37
lincRNA-snRNA,21
miRNA-Ig,20
lincRNA-miscRNA,18
Trec-mRNA,4
Ig-pseudogene,1
Ig-kshv_microRNA,1
miRNA-Trec,1
