hybrid_type,count
miRNA-mRNA,2209222
mRNA-mRNA,1308772
miRNA-pseudogene,510636
mRNA-pseudogene,468435
miRNA-miRNA,263617
pseudogene-pseudogene,231954
kshv-miRNA-mRNA,66578
miRNA-pr-tr,55668
mRNA-tRNA,39193
mRNA-pr-tr,36363
pseudogene-tRNA,24564
miRNA-tRNA,19178
kshv-miRNA-pseudogene,18088
miRNA-kshv-miRNA,17235
miRNA-miscRNA,14856
miRNA-snRNA,12690
pr-tr-pseudogene,12174
pr-tr-pr-tr,11075
mRNA-miscRNA,10934
miscRNA-pseudogene,7841
miRNA-snoRNA,6909
miRNA-lincRNA,6552
mRNA-snRNA,6281
pseudogene-snRNA,5509
lincRNA-mRNA,5202
mRNA-snoRNA,5176
pseudogene-snoRNA,3829
snoRNA-snoRNA,2893
lincRNA-pseudogene,1998
kshv-miRNA-pr-tr,1778
miscRNA-miscRNA,1628
snRNA-snRNA,952
kshv-miRNA-tRNA,946
pr-tr-tRNA,859
kshv-miRNA-kshv-miRNA,731
tRNA-tRNA,693
kshv-miRNA-snRNA,620
lincRNA-pr-tr,470
miscRNA-pr-tr,418
lincRNA-lincRNA,366
kshv-miRNA-miscRNA,296
pr-tr-snoRNA,213
kshv-miRNA-lincRNA,190
snRNA-tRNA,171
kshv-miRNA-snoRNA,163
miscRNA-tRNA,162
pr-tr-snRNA,145
snRNA-snoRNA,132
miscRNA-snRNA,119
lincRNA-tRNA,110
snoRNA-tRNA,107
miscRNA-snoRNA,54
lincRNA-snoRNA,38
Ig-mRNA,38
lincRNA-miscRNA,25
lincRNA-snRNA,22
miRNA-Ig,20
Trec-mRNA,4
Ig-pseudogene,1
Ig-kshv-miRNA,1
miRNA-Trec,1
