hybrid_type,count
miRNA-mRNA,19882998
mRNA-mRNA,11778948
miRNA-pseudogene,4595724
mRNA-pseudogene,4215915
miRNA-miRNA,2372553
pseudogene-pseudogene,2087586
kshv_microRNA-mRNA,599202
miRNA-pr-tr,501012
mRNA-tRNA,352737
mRNA-pr-tr,327267
pseudogene-tRNA,221076
miRNA-tRNA,172602
kshv_microRNA-pseudogene,162792
miRNA-kshv_microRNA,155115
miRNA-miscRNA,133704
miRNA-snRNA,114210
pr-tr-pseudogene,109566
pr-tr-pr-tr,99675
mRNA-miscRNA,98406
miscRNA-pseudogene,70569
miRNA-snoRNA,62181
miRNA-lincRNA,58968
mRNA-snRNA,56529
pseudogene-snRNA,49581
lincRNA-mRNA,46818
mRNA-snoRNA,46584
pseudogene-snoRNA,34461
snoRNA-snoRNA,26037
lincRNA-pseudogene,17982
kshv_microRNA-pr-tr,16002
miscRNA-miscRNA,14652
snRNA-snRNA,8568
kshv_microRNA-tRNA,8514
pr-tr-tRNA,7731
kshv_microRNA-kshv_microRNA,6579
tRNA-tRNA,6237
kshv_microRNA-snRNA,5580
lincRNA-pr-tr,4230
miscRNA-pr-tr,3762
lincRNA-lincRNA,3294
kshv_microRNA-miscRNA,2664
pr-tr-snoRNA,1917
kshv_microRNA-lincRNA,1710
snRNA-tRNA,1539
kshv_microRNA-snoRNA,1467
miscRNA-tRNA,1458
pr-tr-snRNA,1305
snRNA-snoRNA,1188
miscRNA-snRNA,1071
lincRNA-tRNA,990
snoRNA-tRNA,963
miscRNA-snoRNA,486
lincRNA-snoRNA,342
Ig-mRNA,342
lincRNA-miscRNA,225
lincRNA-snRNA,198
miRNA-Ig,180
Trec-mRNA,36
Ig-pseudogene,9
Ig-kshv_microRNA,9
miRNA-Trec,9
