mirna,mirna_type,target,target_type,count
mirna,-,total,-,332
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000069_MirBase_miR-16_microRNA,miRNA,23
kshv-miR-K12-10b,kshv_microRNA,ENSG00000240155_ENST00000482877_AC114498-1_pseudo,pseudogene,8
kshv-miR-K12-10b,kshv_microRNA,ENSG00000241780_ENST00000469340_AC025627-7_pseudo,pseudogene,8
kshv-miR-K12-10b,kshv_microRNA,ENSG00000239776_ENST00000488123_AC079949-1_pseudo,pseudogene,7
kshv-miR-K12-10b,kshv_microRNA,ENSG00000241482_ENST00000473498_AC064836-1_pseudo,pseudogene,6
kshv-miR-K12-10b,kshv_microRNA,ENSG00000239935_ENST00000489202_AC116340-1_pseudo,pseudogene,6
kshv-miR-K12-10b,kshv_microRNA,ENSG00000243163_ENST00000470405_AL353147-3_pseudo,pseudogene,6
kshv-miR-K12-10b,kshv_microRNA,ENSG00000240656_ENST00000494879_AC068594-1_pseudo,pseudogene,6
kshv-miR-K12-10b,kshv_microRNA,ENSG00000242503_ENST00000481774_AL158819-4_pseudo,pseudogene,5
kshv-miR-K12-10b,kshv_microRNA,ENSG00000243172_ENST00000463796_AP003035-1_pseudo,pseudogene,5
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000222_MirBase_miR-192_microRNA,miRNA,5
kshv-miR-K12-10b,kshv_microRNA,ENSG00000206702_ENST00000383975_U1_snRNA,snRNA,4
kshv-miR-K12-10b,kshv_microRNA,ENSG00000212544_ENST00000391242_U1_snRNA,snRNA,4
kshv-miR-K12-10b,kshv_microRNA,ENSG00000207418_ENST00000384687_U1_snRNA,snRNA,4
kshv-miR-K12-10b,kshv_microRNA,ENSG00000207340_ENST00000384610_U1_snRNA,snRNA,4
kshv-miR-K12-10b,kshv_microRNA,ENSG00000206737_ENST00000384010_U1_snRNA,snRNA,4
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000259_MirBase_miR-182_microRNA,miRNA,4
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000076_MirBase_miR-21_microRNA,miRNA,3
kshv-miR-K12-10b,kshv_microRNA,MIMAT0004597_MirBase_miR-140-3p_microRNA,miRNA,2
kshv-miR-K12-10b,kshv_microRNA,ENSG00000148730_ENST00000373218_EIF4EBP2_mRNA,mRNA,2
kshv-miR-K12-10b,kshv_microRNA,ENSG00000163625_ENST00000295888_WDFY3_mRNA,mRNA,2
kshv-miR-K12-10b,kshv_microRNA,kshv-miR-K12-6-5p,kshv_microRNA,2
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000417_MirBase_miR-15b_microRNA,miRNA,2
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000100_MirBase_miR-29b_microRNA,miRNA,2
kshv-miR-K12-10b,kshv_microRNA,ENSG00000117868_ENST00000251527_ESYT2_mRNA,mRNA,2
kshv-miR-K12-10b,kshv_microRNA,ENSG00000196924_ENST00000422373_FLNA_mRNA,mRNA,2
kshv-miR-K12-10b,kshv_microRNA,ENSG00000196924_ENST00000360319_FLNA_mRNA,mRNA,2
kshv-miR-K12-10b,kshv_microRNA,ENSG00000196924_ENST00000369850_FLNA_mRNA,mRNA,2
kshv-miR-K12-10b,kshv_microRNA,ENSG00000196924_ENST00000369863_FLNA_mRNA,mRNA,2
kshv-miR-K12-10b,kshv_microRNA,MIMAT0004494_MirBase_miR-21*_microRNA,miRNA,2
kshv-miR-K12-10b,kshv_microRNA,ENSG00000198959_ENST00000361475_TGM2_mRNA,mRNA,2
kshv-miR-K12-10b,kshv_microRNA,ENSG00000198886_ENST00000361381_MT-ND4_mRNA,mRNA,2
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000646_MirBase_miR-155_microRNA,miRNA,2
kshv-miR-K12-10b,kshv_microRNA,ENSG00000227804_ENST00000449113_PPP1R10_mRNA,mRNA,2
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000244_MirBase_miR-30c_microRNA,miRNA,2
kshv-miR-K12-10b,kshv_microRNA,ENSG00000154760_ENST00000285013_SLFN13_mRNA,mRNA,1
kshv-miR-K12-10b,kshv_microRNA,MIMAT0005793_MirBase_miR-320c_microRNA,miRNA,1
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000510_MirBase_miR-320a_microRNA,miRNA,1
kshv-miR-K12-10b,kshv_microRNA,ENSG00000251557_ENST00000511537_AC090588-1_lincRNA,lincRNA,1
kshv-miR-K12-10b,kshv_microRNA,ENSG00000165119_ENST00000376281_HNRNPK_mRNA,mRNA,1
kshv-miR-K12-10b,kshv_microRNA,ENSG00000165119_ENST00000360384_HNRNPK_mRNA,mRNA,1
kshv-miR-K12-10b,kshv_microRNA,ENSG00000165119_ENST00000376264_HNRNPK_mRNA,mRNA,1
kshv-miR-K12-10b,kshv_microRNA,ENSG00000165119_ENST00000376263_HNRNPK_mRNA,mRNA,1
kshv-miR-K12-10b,kshv_microRNA,ENSG00000165119_ENST00000376268_HNRNPK_mRNA,mRNA,1
