mirna,mirna_type,target,target_type,count
mirna,-,total,-,1966
kshv-miR-K12-3,kshv_microRNA,MIMAT0000076_MirBase_miR-21_microRNA,miRNA,47
kshv-miR-K12-3,kshv_microRNA,MIMAT0000092_MirBase_miR-92a_microRNA,miRNA,38
kshv-miR-K12-3,kshv_microRNA,ENSG00000240831_ENST00000459949_AC112777-1_pseudo,pseudogene,21
kshv-miR-K12-3,kshv_microRNA,MIMAT0000257_MirBase_miR-181b_microRNA,miRNA,14
kshv-miR-K12-3,kshv_microRNA,MIMAT0000078_MirBase_miR-23a_microRNA,miRNA,14
kshv-miR-K12-3,kshv_microRNA,ENSG00000176624_ENST00000406189_MEX3C_mRNA,mRNA,13
kshv-miR-K12-3,kshv_microRNA,ENSG00000241376_ENST00000492060_AL606830-1_pseudo,pseudogene,12
kshv-miR-K12-3,kshv_microRNA,ENSG00000086475_ENST00000327347_SEPHS1_mRNA,mRNA,11
kshv-miR-K12-3,kshv_microRNA,MIMAT0003218_MirBase_miR-92b_microRNA,miRNA,11
kshv-miR-K12-3,kshv_microRNA,ENSG00000135269_ENST00000393481_TES_mRNA,mRNA,10
kshv-miR-K12-3,kshv_microRNA,ENSG00000135269_ENST00000358204_TES_mRNA,mRNA,10
kshv-miR-K12-3,kshv_microRNA,MIMAT0000244_MirBase_miR-30c_microRNA,miRNA,10
kshv-miR-K12-3,kshv_microRNA,ENSG00000187109_ENST00000261182_NAP1L1_mRNA,mRNA,10
kshv-miR-K12-3,kshv_microRNA,ENSG00000187109_ENST00000393263_NAP1L1_mRNA,mRNA,10
kshv-miR-K12-3,kshv_microRNA,MIMAT0000087_MirBase_miR-30a_microRNA,miRNA,9
kshv-miR-K12-3,kshv_microRNA,MIMAT0000256_MirBase_miR-181a_microRNA,miRNA,9
kshv-miR-K12-3,kshv_microRNA,ENSG00000138293_ENST00000374087_NCOA4_mRNA,mRNA,8
kshv-miR-K12-3,kshv_microRNA,ENSG00000138293_ENST00000443446_NCOA4_mRNA,mRNA,8
kshv-miR-K12-3,kshv_microRNA,ENSG00000138293_ENST00000438493_NCOA4_mRNA,mRNA,8
kshv-miR-K12-3,kshv_microRNA,ENSG00000138293_ENST00000452682_NCOA4_mRNA,mRNA,8
kshv-miR-K12-3,kshv_microRNA,ENSG00000138293_ENST00000344348_NCOA4_mRNA,mRNA,8
kshv-miR-K12-3,kshv_microRNA,kshv-miR-K12-3*,kshv_microRNA,8
kshv-miR-K12-3,kshv_microRNA,ENSG00000107862_ENST00000369983_GBF1_mRNA,mRNA,8
kshv-miR-K12-3,kshv_microRNA,MIMAT0000067_MirBase_let-7f_microRNA,miRNA,8
kshv-miR-K12-3,kshv_microRNA,ENSG00000105568_ENST00000322088_PPP2R1A_mRNA,mRNA,7
kshv-miR-K12-3,kshv_microRNA,ENSG00000124942_ENST00000378024_AHNAK_mRNA,mRNA,7
kshv-miR-K12-3,kshv_microRNA,ENSG00000239935_ENST00000489202_AC116340-1_pseudo,pseudogene,7
kshv-miR-K12-3,kshv_microRNA,ENSG00000239776_ENST00000488123_AC079949-1_pseudo,pseudogene,7
kshv-miR-K12-3,kshv_microRNA,MIMAT0000063_MirBase_let-7b_microRNA,miRNA,7
kshv-miR-K12-3,kshv_microRNA,ENSG00000184009_ENST00000331925_ACTG1_mRNA,mRNA,7
kshv-miR-K12-3,kshv_microRNA,ENSG00000241279_ENST00000464639_AC110615-2_pseudo,pseudogene,7
kshv-miR-K12-3,kshv_microRNA,ENSG00000111640_ENST00000396859_GAPDH_mRNA,mRNA,6
kshv-miR-K12-3,kshv_microRNA,ENSG00000111640_ENST00000229239_GAPDH_mRNA,mRNA,6
kshv-miR-K12-3,kshv_microRNA,ENSG00000111640_ENST00000406765_GAPDH_mRNA,mRNA,6
kshv-miR-K12-3,kshv_microRNA,ENSG00000111640_ENST00000396861_GAPDH_mRNA,mRNA,6
kshv-miR-K12-3,kshv_microRNA,ENSG_ENST_chr17-trna42-LeuTAG_tRNA,tRNA,6
kshv-miR-K12-3,kshv_microRNA,ENSG_ENST_chr14-trna1-LeuAAG_tRNA,tRNA,6
kshv-miR-K12-3,kshv_microRNA,ENSG_ENST_chr16-trna27-LeuTAG_tRNA,tRNA,6
kshv-miR-K12-3,kshv_microRNA,ENSG_ENST_chr5-trna16-LeuAAG_tRNA,tRNA,6
kshv-miR-K12-3,kshv_microRNA,ENSG00000248541_ENST00000506688_HIST1H3G_mRNA,mRNA,6
kshv-miR-K12-3,kshv_microRNA,ENSG00000243092_ENST00000483424_AC140847-1_pseudo,pseudogene,6
kshv-miR-K12-3,kshv_microRNA,MIMAT0000646_MirBase_miR-155_microRNA,miRNA,6
kshv-miR-K12-3,kshv_microRNA,ENSG00000239647_ENST00000478115_AC073366-1_pseudo,pseudogene,6
kshv-miR-K12-3,kshv_microRNA,ENSG00000198830_ENST00000361427_HMGN2_mRNA,mRNA,6
kshv-miR-K12-3,kshv_microRNA,ENSG00000243163_ENST00000470405_AL353147-3_pseudo,pseudogene,6
kshv-miR-K12-3,kshv_microRNA,ENSG00000241780_ENST00000469340_AC025627-7_pseudo,pseudogene,6
kshv-miR-K12-3,kshv_microRNA,ENSG00000240155_ENST00000482877_AC114498-1_pseudo,pseudogene,6
kshv-miR-K12-3,kshv_microRNA,ENSG00000164104_ENST00000446922_HMGB2_mRNA,mRNA,6
kshv-miR-K12-3,kshv_microRNA,ENSG00000164104_ENST00000296503_HMGB2_mRNA,mRNA,6
kshv-miR-K12-3,kshv_microRNA,ENSG00000196428_ENST00000361875_TSC22D2_mRNA,mRNA,5
kshv-miR-K12-3,kshv_microRNA,MIMAT0000077_MirBase_miR-22_microRNA,miRNA,5
