mirna,mirna_type,target,target_type,count
mirna,-,total,-,700
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000240831_ENST00000459949_AC112777-1_pseudo,pseudogene,24
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000241279_ENST00000464639_AC110615-2_pseudo,pseudogene,18
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000240155_ENST00000482877_AC114498-1_pseudo,pseudogene,12
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000243163_ENST00000470405_AL353147-3_pseudo,pseudogene,12
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000241780_ENST00000469340_AC025627-7_pseudo,pseudogene,12
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000076_MirBase_miR-21_microRNA,miRNA,12
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000242503_ENST00000481774_AL158819-4_pseudo,pseudogene,11
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000646_MirBase_miR-155_microRNA,miRNA,7
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000239776_ENST00000488123_AC079949-1_pseudo,pseudogene,7
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000169567_ENST00000304043_HINT1_mRNA,mRNA,6
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000242693_ENST00000492032_AC108047-1_pseudo,pseudogene,6
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000239935_ENST00000489202_AC116340-1_pseudo,pseudogene,5
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000257_MirBase_miR-181b_microRNA,miRNA,5
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000150991_ENST00000339647_UBC_mRNA,mRNA,5
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000240656_ENST00000494879_AC068594-1_pseudo,pseudogene,5
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000075624_ENST00000331789_ACTB_mRNA,mRNA,4
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0004494_MirBase_miR-21*_microRNA,miRNA,4
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000111642_ENST00000357008_CHD4_mRNA,mRNA,4
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000510_MirBase_miR-320a_microRNA,miRNA,4
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000064_MirBase_let-7c_microRNA,miRNA,4
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000063_MirBase_let-7b_microRNA,miRNA,3
