mirna,mirna_type,target,target_type,count
mirna,-,total,-,679
kshv-miR-K12-8*,kshv_microRNA,ENSG00000239935_ENST00000489202_AC116340-1_pseudo,pseudogene,19
kshv-miR-K12-8*,kshv_microRNA,ENSG00000239776_ENST00000488123_AC079949-1_pseudo,pseudogene,16
kshv-miR-K12-8*,kshv_microRNA,MIMAT0000510_MirBase_miR-320a_microRNA,miRNA,14
kshv-miR-K12-8*,kshv_microRNA,ENSG00000240831_ENST00000459949_AC112777-1_pseudo,pseudogene,13
kshv-miR-K12-8*,kshv_microRNA,ENSG00000240656_ENST00000494879_AC068594-1_pseudo,pseudogene,12
kshv-miR-K12-8*,kshv_microRNA,MIMAT0000062_MirBase_let-7a_microRNA,miRNA,11
kshv-miR-K12-8*,kshv_microRNA,MIMAT0005792_MirBase_miR-320b_microRNA,miRNA,10
kshv-miR-K12-8*,kshv_microRNA,MIMAT0005793_MirBase_miR-320c_microRNA,miRNA,9
kshv-miR-K12-8*,kshv_microRNA,ENSG00000135940_ENST00000258424_COX5B_mRNA,mRNA,8
kshv-miR-K12-8*,kshv_microRNA,ENSG00000111669_ENST00000229270_TPI1_mRNA,mRNA,7
kshv-miR-K12-8*,kshv_microRNA,ENSG00000111371_ENST00000398637_SLC38A1_mRNA,mRNA,7
kshv-miR-K12-8*,kshv_microRNA,MIMAT0000063_MirBase_let-7b_microRNA,miRNA,7
kshv-miR-K12-8*,kshv_microRNA,ENSG00000117632_ENST00000357865_STMN1_mRNA,mRNA,7
kshv-miR-K12-8*,kshv_microRNA,ENSG00000117632_ENST00000399728_STMN1_mRNA,mRNA,7
kshv-miR-K12-8*,kshv_microRNA,ENSG00000117632_ENST00000455785_STMN1_mRNA,mRNA,7
kshv-miR-K12-8*,kshv_microRNA,ENSG00000117632_ENST00000374291_STMN1_mRNA,mRNA,7
kshv-miR-K12-8*,kshv_microRNA,ENSG00000241376_ENST00000492060_AL606830-1_pseudo,pseudogene,5
kshv-miR-K12-8*,kshv_microRNA,ENSG00000169100_ENST00000381401_SLC25A6_mRNA,mRNA,5
kshv-miR-K12-8*,kshv_microRNA,ENSG00000123349_ENST00000334478_PFDN5_mRNA,mRNA,5
kshv-miR-K12-8*,kshv_microRNA,ENSG00000123349_ENST00000351500_PFDN5_mRNA,mRNA,5
kshv-miR-K12-8*,kshv_microRNA,ENSG00000241780_ENST00000469340_AC025627-7_pseudo,pseudogene,5
kshv-miR-K12-8*,kshv_microRNA,ENSG00000240155_ENST00000482877_AC114498-1_pseudo,pseudogene,5
kshv-miR-K12-8*,kshv_microRNA,ENSG00000243163_ENST00000470405_AL353147-3_pseudo,pseudogene,5
kshv-miR-K12-8*,kshv_microRNA,ENSG00000114416_ENST00000445140_FXR1_mRNA,mRNA,4
kshv-miR-K12-8*,kshv_microRNA,ENSG00000114416_ENST00000357559_FXR1_mRNA,mRNA,4
kshv-miR-K12-8*,kshv_microRNA,MIMAT0000076_MirBase_miR-21_microRNA,miRNA,4
kshv-miR-K12-8*,kshv_microRNA,MIMAT0000646_MirBase_miR-155_microRNA,miRNA,4
kshv-miR-K12-8*,kshv_microRNA,MIMAT0000415_MirBase_let-7i_microRNA,miRNA,4
kshv-miR-K12-8*,kshv_microRNA,ENSG00000242503_ENST00000481774_AL158819-4_pseudo,pseudogene,4
kshv-miR-K12-8*,kshv_microRNA,ENSG00000137274_ENST00000380379_BPHL_mRNA,mRNA,3
kshv-miR-K12-8*,kshv_microRNA,ENSG00000114416_ENST00000305586_FXR1_mRNA,mRNA,3
kshv-miR-K12-8*,kshv_microRNA,ENSG00000141279_ENST00000322157_NPEPPS_mRNA,mRNA,3
kshv-miR-K12-8*,kshv_microRNA,ENSG00000143067_ENST00000421812_ZNF697_mRNA,mRNA,3
