mirna,mirna_type,target,target_type,count
kshv-miR-K12-10a,kshv-miRNA,MIMAT0000069_MirBase_miR-16_microRNA,miRNA,40
kshv-miR-K12-10a,kshv-miRNA,ENSG00000239776_ENST00000488123_AC079949-1_pseudo,pseudogene,33
kshv-miR-K12-10a,kshv-miRNA,MIMAT0000646_MirBase_miR-155_microRNA,miRNA,26
kshv-miR-K12-10a,kshv-miRNA,ENSG00000240656_ENST00000494879_AC068594-1_pseudo,pseudogene,25
kshv-miR-K12-10a,kshv-miRNA,ENSG00000240155_ENST00000482877_AC114498-1_pseudo,pseudogene,23
kshv-miR-K12-10a,kshv-miRNA,ENSG00000241780_ENST00000469340_AC025627-7_pseudo,pseudogene,23
kshv-miR-K12-10a,kshv-miRNA,ENSG00000239935_ENST00000489202_AC116340-1_pseudo,pseudogene,22
kshv-miR-K12-10a,kshv-miRNA,ENSG00000243163_ENST00000470405_AL353147-3_pseudo,pseudogene,19
kshv-miR-K12-10a,kshv-miRNA,ENSG00000241482_ENST00000473498_AC064836-1_pseudo,pseudogene,18
kshv-miR-K12-10a,kshv-miRNA,ENSG00000242503_ENST00000481774_AL158819-4_pseudo,pseudogene,17
kshv-miR-K12-10a,kshv-miRNA,ENSG00000206737_ENST00000384010_U1_snRNA,snRNA,9
kshv-miR-K12-10a,kshv-miRNA,ENSG00000207418_ENST00000384687_U1_snRNA,snRNA,8
kshv-miR-K12-10a,kshv-miRNA,ENSG00000212544_ENST00000391242_U1_snRNA,snRNA,8
kshv-miR-K12-10a,kshv-miRNA,ENSG00000207340_ENST00000384610_U1_snRNA,snRNA,8
kshv-miR-K12-10a,kshv-miRNA,ENSG00000206702_ENST00000383975_U1_snRNA,snRNA,8
kshv-miR-K12-10a,kshv-miRNA,MIMAT0000084_MirBase_miR-27a_microRNA,miRNA,8
kshv-miR-K12-10a,kshv-miRNA,ENSG00000239909_ENST00000496481_AC008541-1_pseudo,pseudogene,7
kshv-miR-K12-10a,kshv-miRNA,ENSG00000196924_ENST00000369863_FLNA_mRNA,mRNA,7
kshv-miR-K12-10a,kshv-miRNA,ENSG00000196924_ENST00000369850_FLNA_mRNA,mRNA,7
kshv-miR-K12-10a,kshv-miRNA,ENSG00000196924_ENST00000360319_FLNA_mRNA,mRNA,7
kshv-miR-K12-10a,kshv-miRNA,ENSG00000196924_ENST00000422373_FLNA_mRNA,mRNA,7
kshv-miR-K12-10a,kshv-miRNA,MIMAT0000092_MirBase_miR-92a_microRNA,miRNA,7
kshv-miR-K12-10a,kshv-miRNA,ENSG00000241781_ENST00000463508_AL161626-1_pseudo,pseudogene,7
kshv-miR-K12-10a,kshv-miRNA,MIMAT0000244_MirBase_miR-30c_microRNA,miRNA,6
kshv-miR-K12-10a,kshv-miRNA,ENSG00000198959_ENST00000361475_TGM2_mRNA,mRNA,5
kshv-miR-K12-10a,kshv-miRNA,ENSG00000006327_ENST00000326577_TNFRSF12A_mRNA,mRNA,5
kshv-miR-K12-10a,kshv-miRNA,MIMAT0004494_MirBase_miR-21*_microRNA,miRNA,5
kshv-miR-K12-10a,kshv-miRNA,ENSG00000241530_ENST00000490522_AC006368-1_pseudo,pseudogene,4
