mirna,mirna_type,target,target_type,count
kshv-miR-K12-12,kshv-miRNA,ENSG00000240155_ENST00000482877_AC114498-1_pseudo,pseudogene,34
kshv-miR-K12-12,kshv-miRNA,ENSG00000241780_ENST00000469340_AC025627-7_pseudo,pseudogene,34
kshv-miR-K12-12,kshv-miRNA,ENSG00000243163_ENST00000470405_AL353147-3_pseudo,pseudogene,32
kshv-miR-K12-12,kshv-miRNA,ENSG00000242503_ENST00000481774_AL158819-4_pseudo,pseudogene,27
kshv-miR-K12-12,kshv-miRNA,ENSG00000240656_ENST00000494879_AC068594-1_pseudo,pseudogene,7
kshv-miR-K12-12,kshv-miRNA,ENSG00000239776_ENST00000488123_AC079949-1_pseudo,pseudogene,7
kshv-miR-K12-12,kshv-miRNA,ENSG00000241781_ENST00000463508_AL161626-1_pseudo,pseudogene,7
kshv-miR-K12-12,kshv-miRNA,MIMAT0000078_MirBase_miR-23a_microRNA,miRNA,6
kshv-miR-K12-12,kshv-miRNA,ENSG00000244288_ENST00000496399_AC090360-1_pseudo,pseudogene,6
kshv-miR-K12-12,kshv-miRNA,ENSG00000198959_ENST00000361475_TGM2_mRNA,mRNA,4
kshv-miR-K12-12,kshv-miRNA,ENSG00000184009_ENST00000331925_ACTG1_mRNA,mRNA,4
kshv-miR-K12-12,kshv-miRNA,ENSG00000072864_ENST00000396355_NDE1_mRNA,mRNA,3
kshv-miR-K12-12,kshv-miRNA,ENSG00000110987_ENST00000261822_BCL7A_mRNA,mRNA,3
kshv-miR-K12-12,kshv-miRNA,ENSG00000244683_ENST00000475014_AC092656-1_pseudo,pseudogene,3
kshv-miR-K12-12,kshv-miRNA,ENSG00000239935_ENST00000489202_AC116340-1_pseudo,pseudogene,3
kshv-miR-K12-12,kshv-miRNA,MIMAT0000092_MirBase_miR-92a_microRNA,miRNA,3
kshv-miR-K12-12,kshv-miRNA,ENSG00000183258_ENST00000507955_DDX41_mRNA,mRNA,2
kshv-miR-K12-12,kshv-miRNA,MIMAT0000244_MirBase_miR-30c_microRNA,miRNA,2
kshv-miR-K12-12,kshv-miRNA,MIMAT0000418_MirBase_miR-23b_microRNA,miRNA,2
kshv-miR-K12-12,kshv-miRNA,ENSG00000198931_ENST00000378364_APRT_mRNA,mRNA,2
kshv-miR-K12-12,kshv-miRNA,ENSG00000198931_ENST00000426324_APRT_mRNA,mRNA,2
kshv-miR-K12-12,kshv-miRNA,kshv-miR-K12-12*,kshv-miRNA,2
kshv-miR-K12-12,kshv-miRNA,ENSG00000115414_ENST00000357867_FN1_mRNA,mRNA,2
kshv-miR-K12-12,kshv-miRNA,ENSG00000115414_ENST00000446046_FN1_mRNA,mRNA,2
kshv-miR-K12-12,kshv-miRNA,ENSG00000115414_ENST00000354785_FN1_mRNA,mRNA,2
kshv-miR-K12-12,kshv-miRNA,ENSG00000115414_ENST00000336916_FN1_mRNA,mRNA,2
kshv-miR-K12-12,kshv-miRNA,ENSG00000115414_ENST00000356005_FN1_mRNA,mRNA,2
kshv-miR-K12-12,kshv-miRNA,ENSG00000134686_ENST00000419414_PHC2_mRNA,mRNA,2
kshv-miR-K12-12,kshv-miRNA,ENSG00000134686_ENST00000431992_PHC2_mRNA,mRNA,2
kshv-miR-K12-12,kshv-miRNA,ENSG00000134686_ENST00000373418_PHC2_mRNA,mRNA,2
kshv-miR-K12-12,kshv-miRNA,ENSG00000134686_ENST00000361167_PHC2_mRNA,mRNA,2
kshv-miR-K12-12,kshv-miRNA,ENSG00000152104_ENST00000366956_PTPN14_mRNA,mRNA,2
kshv-miR-K12-12,kshv-miRNA,ENSG00000241514_ENST00000481491_AC115220-10_pseudo,pseudogene,2
kshv-miR-K12-12,kshv-miRNA,MIMAT0000067_MirBase_let-7f_microRNA,miRNA,2
kshv-miR-K12-12,kshv-miRNA,ENSG00000182481_ENST00000330459_KPNA2_mRNA,mRNA,2
kshv-miR-K12-12,kshv-miRNA,ENSG00000023191_ENST00000438658_RNH1_mRNA,mRNA,2
kshv-miR-K12-12,kshv-miRNA,ENSG00000023191_ENST00000426245_RNH1_mRNA,mRNA,2
kshv-miR-K12-12,kshv-miRNA,ENSG00000023191_ENST00000397615_RNH1_mRNA,mRNA,2
kshv-miR-K12-12,kshv-miRNA,ENSG00000023191_ENST00000397604_RNH1_mRNA,mRNA,2
kshv-miR-K12-12,kshv-miRNA,ENSG00000023191_ENST00000397614_RNH1_mRNA,mRNA,2
