mirna,mirna_type,target,target_type,count
kshv-miR-K12-12*,kshv-miRNA,ENSG00000240831_ENST00000459949_AC112777-1_pseudo,pseudogene,97
kshv-miR-K12-12*,kshv-miRNA,ENSG00000239935_ENST00000489202_AC116340-1_pseudo,pseudogene,37
kshv-miR-K12-12*,kshv-miRNA,ENSG00000116791_ENST00000370872_CRYZ_mRNA,mRNA,16
kshv-miR-K12-12*,kshv-miRNA,ENSG00000116791_ENST00000340866_CRYZ_mRNA,mRNA,16
kshv-miR-K12-12*,kshv-miRNA,ENSG00000116791_ENST00000370871_CRYZ_mRNA,mRNA,16
kshv-miR-K12-12*,kshv-miRNA,ENSG00000116791_ENST00000417775_CRYZ_mRNA,mRNA,16
kshv-miR-K12-12*,kshv-miRNA,ENSG00000067225_ENST00000319622_PKM2_mRNA,mRNA,11
kshv-miR-K12-12*,kshv-miRNA,ENSG00000067225_ENST00000389093_PKM2_mRNA,mRNA,11
kshv-miR-K12-12*,kshv-miRNA,ENSG00000067225_ENST00000419739_PKM2_mRNA,mRNA,11
kshv-miR-K12-12*,kshv-miRNA,ENSG00000067225_ENST00000335181_PKM2_mRNA,mRNA,11
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000510_MirBase_miR-320a_microRNA,miRNA,11
kshv-miR-K12-12*,kshv-miRNA,ENSG00000170144_ENST00000435711_HNRNPA3_mRNA,mRNA,11
kshv-miR-K12-12*,kshv-miRNA,ENSG00000170144_ENST00000392524_HNRNPA3_mRNA,mRNA,11
kshv-miR-K12-12*,kshv-miRNA,ENSG00000241530_ENST00000490522_AC006368-1_pseudo,pseudogene,10
kshv-miR-K12-12*,kshv-miRNA,ENSG00000244663_ENST00000494159_AC007599-1_pseudo,pseudogene,9
kshv-miR-K12-12*,kshv-miRNA,ENSG_ENST_chr1-trna59-GluCTC_tRNA,tRNA,8
kshv-miR-K12-12*,kshv-miRNA,ENSG_ENST_chr1-trna116-GluCTC_tRNA,tRNA,8
kshv-miR-K12-12*,kshv-miRNA,ENSG00000171858_ENST00000343986_RPS21_mRNA,mRNA,7
kshv-miR-K12-12*,kshv-miRNA,ENSG00000171858_ENST00000317311_RPS21_mRNA,mRNA,7
kshv-miR-K12-12*,kshv-miRNA,ENSG00000241781_ENST00000463508_AL161626-1_pseudo,pseudogene,7
kshv-miR-K12-12*,kshv-miRNA,ENSG00000184076_ENST00000401406_UQCR10_mRNA,mRNA,6
kshv-miR-K12-12*,kshv-miRNA,ENSG00000184076_ENST00000330029_UQCR10_mRNA,mRNA,6
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000062_MirBase_let-7a_microRNA,miRNA,6
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000063_MirBase_let-7b_microRNA,miRNA,6
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000084_MirBase_miR-27a_microRNA,miRNA,6
kshv-miR-K12-12*,kshv-miRNA,ENSG00000129625_ENST00000379638_REEP5_mRNA,mRNA,6
kshv-miR-K12-12*,kshv-miRNA,ENSG00000161016_ENST00000262584_RPL8_mRNA,mRNA,5
kshv-miR-K12-12*,kshv-miRNA,ENSG00000161016_ENST00000394920_RPL8_mRNA,mRNA,5
kshv-miR-K12-12*,kshv-miRNA,ENSG00000131236_ENST00000372797_CAP1_mRNA,mRNA,5
kshv-miR-K12-12*,kshv-miRNA,ENSG00000239776_ENST00000488123_AC079949-1_pseudo,pseudogene,5
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000076_MirBase_miR-21_microRNA,miRNA,5
kshv-miR-K12-12*,kshv-miRNA,ENSG00000196924_ENST00000360319_FLNA_mRNA,mRNA,5
kshv-miR-K12-12*,kshv-miRNA,ENSG00000196924_ENST00000369863_FLNA_mRNA,mRNA,5
kshv-miR-K12-12*,kshv-miRNA,ENSG00000196924_ENST00000422373_FLNA_mRNA,mRNA,5
kshv-miR-K12-12*,kshv-miRNA,ENSG00000196924_ENST00000369850_FLNA_mRNA,mRNA,5
kshv-miR-K12-12*,kshv-miRNA,ENSG00000085662_ENST00000285930_AKR1B1_mRNA,mRNA,5
kshv-miR-K12-12*,kshv-miRNA,ENSG00000135486_ENST00000420780_HNRNPA1_mRNA,mRNA,5
kshv-miR-K12-12*,kshv-miRNA,ENSG00000135486_ENST00000340913_HNRNPA1_mRNA,mRNA,5
kshv-miR-K12-12*,kshv-miRNA,ENSG00000084754_ENST00000380649_HADHA_mRNA,mRNA,4
kshv-miR-K12-12*,kshv-miRNA,ENSG00000243185_ENST00000474870_AC108078-1_pseudo,pseudogene,4
kshv-miR-K12-12*,kshv-miRNA,ENSG00000131236_ENST00000372792_CAP1_mRNA,mRNA,4
kshv-miR-K12-12*,kshv-miRNA,ENSG00000131236_ENST00000372805_CAP1_mRNA,mRNA,4
kshv-miR-K12-12*,kshv-miRNA,ENSG00000167110_ENST00000421699_GOLGA2_mRNA,mRNA,4
kshv-miR-K12-12*,kshv-miRNA,ENSG00000240656_ENST00000494879_AC068594-1_pseudo,pseudogene,4
kshv-miR-K12-12*,kshv-miRNA,ENSG00000170854_ENST00000360258_MINA_mRNA,mRNA,4
kshv-miR-K12-12*,kshv-miRNA,ENSG00000170854_ENST00000394198_MINA_mRNA,mRNA,4
kshv-miR-K12-12*,kshv-miRNA,ENSG00000170854_ENST00000333396_MINA_mRNA,mRNA,4
kshv-miR-K12-12*,kshv-miRNA,ENSG00000057019_ENST00000326840_DCBLD2_mRNA,mRNA,4
kshv-miR-K12-12*,kshv-miRNA,ENSG00000241279_ENST00000464639_AC110615-2_pseudo,pseudogene,4
kshv-miR-K12-12*,kshv-miRNA,ENSG00000172660_ENST00000311979_TAF15_mRNA,mRNA,4
kshv-miR-K12-12*,kshv-miRNA,ENSG00000242517_ENST00000498581_AC018607-1_pseudo,pseudogene,4
kshv-miR-K12-12*,kshv-miRNA,ENSG00000155130_ENST00000368635_MARCKS_mRNA,mRNA,4
kshv-miR-K12-12*,kshv-miRNA,ENSG00000135486_ENST00000330752_HNRNPA1_mRNA,mRNA,4
kshv-miR-K12-12*,kshv-miRNA,MIMAT0005793_MirBase_miR-320c_microRNA,miRNA,4
kshv-miR-K12-12*,kshv-miRNA,ENSG00000244276_ENST00000476900_AC087620-1_pseudo,pseudogene,3
kshv-miR-K12-12*,kshv-miRNA,ENSG00000244466_ENST00000465918_AC015845-2_pseudo,pseudogene,3
