mirna,mirna_type,target,target_type,count
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000155090_ENST00000285407_KLF10_mRNA,mRNA,17
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000155090_ENST00000395884_KLF10_mRNA,mRNA,17
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000133112_ENST00000379060_TPT1_mRNA,mRNA,11
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000133112_ENST00000309246_TPT1_mRNA,mRNA,11
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000120509_ENST00000374454_PDZD11_mRNA,mRNA,9
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000120509_ENST00000239666_PDZD11_mRNA,mRNA,9
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000149480_ENST00000278823_MTA2_mRNA,mRNA,8
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000180667_ENST00000315927_YOD1_mRNA,mRNA,8
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000241780_ENST00000469340_AC025627-7_pseudo,pseudogene,8
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000240155_ENST00000482877_AC114498-1_pseudo,pseudogene,8
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000243163_ENST00000470405_AL353147-3_pseudo,pseudogene,8
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000067225_ENST00000335181_PKM2_mRNA,mRNA,8
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000242503_ENST00000481774_AL158819-4_pseudo,pseudogene,7
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000067225_ENST00000419739_PKM2_mRNA,mRNA,7
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000067225_ENST00000319622_PKM2_mRNA,mRNA,7
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000067225_ENST00000389093_PKM2_mRNA,mRNA,7
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000084207_ENST00000398606_GSTP1_mRNA,mRNA,7
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000121879_ENST00000263967_PIK3CA_mRNA,mRNA,7
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000111640_ENST00000406765_GAPDH_mRNA,mRNA,6
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000111640_ENST00000396859_GAPDH_mRNA,mRNA,6
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000111640_ENST00000229239_GAPDH_mRNA,mRNA,6
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000111640_ENST00000396861_GAPDH_mRNA,mRNA,6
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000136830_ENST00000373312_FAM129B_mRNA,mRNA,6
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000136830_ENST00000373314_FAM129B_mRNA,mRNA,6
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000163931_ENST00000423525_TKT_mRNA,mRNA,6
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000163931_ENST00000462138_TKT_mRNA,mRNA,6
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000147274_ENST00000320676_RBMX_mRNA,mRNA,5
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000213516_ENST00000321792_RBMXL1_mRNA,mRNA,5
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000022267_ENST00000394155_FHL1_mRNA,mRNA,5
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000022267_ENST00000394153_FHL1_mRNA,mRNA,5
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000022267_ENST00000370690_FHL1_mRNA,mRNA,5
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000022267_ENST00000370683_FHL1_mRNA,mRNA,5
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000022267_ENST00000345434_FHL1_mRNA,mRNA,5
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000102898_ENST00000219169_NUTF2_mRNA,mRNA,5
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000241781_ENST00000463508_AL161626-1_pseudo,pseudogene,5
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000243185_ENST00000474870_AC108078-1_pseudo,pseudogene,5
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000243172_ENST00000463796_AP003035-1_pseudo,pseudogene,5
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000073792_ENST00000346192_IGF2BP2_mRNA,mRNA,4
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000073792_ENST00000382199_IGF2BP2_mRNA,mRNA,4
kshv-miR-K12-6-3p,kshv-miRNA,MIMAT0000069_MirBase_miR-16_microRNA,miRNA,4
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000241376_ENST00000492060_AL606830-1_pseudo,pseudogene,4
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000142534_ENST00000270625_AC010619-1_mRNA,mRNA,4
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000241168_ENST00000490357_RP11_pr-tr,pr-tr,4
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000153561_ENST00000283632_RMND5A_mRNA,mRNA,4
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000026025_ENST00000224237_VIM_mRNA,mRNA,4
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000136193_ENST00000425819_SCRN1_mRNA,mRNA,4
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000136193_ENST00000409497_SCRN1_mRNA,mRNA,4
kshv-miR-K12-6-3p,kshv-miRNA,ENSG00000136193_ENST00000426154_SCRN1_mRNA,mRNA,4
