mirna,mirna_type,target,target_type,count
mirna,-,total,-,4060
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000069_MirBase_miR-16_microRNA,miRNA,273
kshv-miR-K12-10b,kshv_microRNA,ENSG00000239776_ENST00000488123_AC079949-1_pseudo,pseudogene,126
kshv-miR-K12-10b,kshv_microRNA,ENSG00000240656_ENST00000494879_AC068594-1_pseudo,pseudogene,104
kshv-miR-K12-10b,kshv_microRNA,ENSG00000240155_ENST00000482877_AC114498-1_pseudo,pseudogene,82
kshv-miR-K12-10b,kshv_microRNA,ENSG00000241780_ENST00000469340_AC025627-7_pseudo,pseudogene,81
kshv-miR-K12-10b,kshv_microRNA,ENSG00000243163_ENST00000470405_AL353147-3_pseudo,pseudogene,66
kshv-miR-K12-10b,kshv_microRNA,ENSG00000242503_ENST00000481774_AL158819-4_pseudo,pseudogene,58
kshv-miR-K12-10b,kshv_microRNA,ENSG00000239935_ENST00000489202_AC116340-1_pseudo,pseudogene,54
kshv-miR-K12-10b,kshv_microRNA,kshv-miR-K12-3,kshv_microRNA,53
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000100_MirBase_miR-29b_microRNA,miRNA,47
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000078_MirBase_miR-23a_microRNA,miRNA,46
kshv-miR-K12-10b,kshv_microRNA,MIMAT0004494_MirBase_miR-21*_microRNA,miRNA,45
kshv-miR-K12-10b,kshv_microRNA,ENSG00000241482_ENST00000473498_AC064836-1_pseudo,pseudogene,37
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000259_MirBase_miR-182_microRNA,miRNA,35
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000222_MirBase_miR-192_microRNA,miRNA,28
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000417_MirBase_miR-15b_microRNA,miRNA,28
kshv-miR-K12-10b,kshv_microRNA,ENSG00000243172_ENST00000463796_AP003035-1_pseudo,pseudogene,25
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000418_MirBase_miR-23b_microRNA,miRNA,25
kshv-miR-K12-10b,kshv_microRNA,ENSG00000239909_ENST00000496481_AC008541-1_pseudo,pseudogene,22
kshv-miR-K12-10b,kshv_microRNA,ENSG00000241115_ENST00000479623_AP001347-1_pseudo,pseudogene,20
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000076_MirBase_miR-21_microRNA,miRNA,18
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000244_MirBase_miR-30c_microRNA,miRNA,17
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000646_MirBase_miR-155_microRNA,miRNA,16
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000092_MirBase_miR-92a_microRNA,miRNA,16
kshv-miR-K12-10b,kshv_microRNA,MIMAT0003239_MirBase_miR-574-3p_microRNA,miRNA,16
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000086_MirBase_miR-29a_microRNA,miRNA,15
kshv-miR-K12-10b,kshv_microRNA,ENSG00000241781_ENST00000463508_AL161626-1_pseudo,pseudogene,15
kshv-miR-K12-10b,kshv_microRNA,MIMAT0004597_MirBase_miR-140-3p_microRNA,miRNA,14
kshv-miR-K12-10b,kshv_microRNA,kshv-miR-K12-6-5p,kshv_microRNA,14
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000084_MirBase_miR-27a_microRNA,miRNA,14
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000068_MirBase_miR-15a_microRNA,miRNA,14
kshv-miR-K12-10b,kshv_microRNA,ENSG00000206702_ENST00000383975_U1_snRNA,snRNA,13
kshv-miR-K12-10b,kshv_microRNA,ENSG00000207418_ENST00000384687_U1_snRNA,snRNA,13
kshv-miR-K12-10b,kshv_microRNA,ENSG00000206737_ENST00000384010_U1_snRNA,snRNA,13
kshv-miR-K12-10b,kshv_microRNA,ENSG00000148730_ENST00000373218_EIF4EBP2_mRNA,mRNA,12
kshv-miR-K12-10b,kshv_microRNA,ENSG00000212544_ENST00000391242_U1_snRNA,snRNA,12
kshv-miR-K12-10b,kshv_microRNA,ENSG00000207340_ENST00000384610_U1_snRNA,snRNA,12
kshv-miR-K12-10b,kshv_microRNA,ENSG_ENST_chr1-trna68-GlyGCC_tRNA,tRNA,12
kshv-miR-K12-10b,kshv_microRNA,ENSG_ENST_chr1-trna35-GlyGCC_tRNA,tRNA,12
kshv-miR-K12-10b,kshv_microRNA,ENSG00000196924_ENST00000422373_FLNA_mRNA,mRNA,11
kshv-miR-K12-10b,kshv_microRNA,ENSG00000196924_ENST00000360319_FLNA_mRNA,mRNA,11
kshv-miR-K12-10b,kshv_microRNA,ENSG00000196924_ENST00000369850_FLNA_mRNA,mRNA,11
kshv-miR-K12-10b,kshv_microRNA,ENSG00000196924_ENST00000369863_FLNA_mRNA,mRNA,11
kshv-miR-K12-10b,kshv_microRNA,ENSG00000227804_ENST00000449113_PPP1R10_mRNA,mRNA,11
kshv-miR-K12-10b,kshv_microRNA,ENSG00000241530_ENST00000490522_AC006368-1_pseudo,pseudogene,9
kshv-miR-K12-10b,kshv_microRNA,ENSG00000125107_ENST00000317147_CNOT1_mRNA,mRNA,9
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000256_MirBase_miR-181a_microRNA,miRNA,9
kshv-miR-K12-10b,kshv_microRNA,kshv-miR-K12-10a*,kshv_microRNA,9
kshv-miR-K12-10b,kshv_microRNA,ENSG_ENST_chr16-trna25-GlyGCC_tRNA,tRNA,9
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000689_MirBase_miR-99b_microRNA,miRNA,8
kshv-miR-K12-10b,kshv_microRNA,ENSG00000240831_ENST00000459949_AC112777-1_pseudo,pseudogene,8
kshv-miR-K12-10b,kshv_microRNA,ENSG00000117868_ENST00000251527_ESYT2_mRNA,mRNA,8
kshv-miR-K12-10b,kshv_microRNA,ENSG00000198959_ENST00000361475_TGM2_mRNA,mRNA,8
kshv-miR-K12-10b,kshv_microRNA,ENSG00000204977_ENST00000457662_TRIM13_mRNA,mRNA,8
kshv-miR-K12-10b,kshv_microRNA,ENSG00000204977_ENST00000420995_TRIM13_mRNA,mRNA,8
kshv-miR-K12-10b,kshv_microRNA,ENSG00000204977_ENST00000378182_TRIM13_mRNA,mRNA,8
kshv-miR-K12-10b,kshv_microRNA,ENSG00000204977_ENST00000356017_TRIM13_mRNA,mRNA,8
kshv-miR-K12-10b,kshv_microRNA,MIMAT0000062_MirBase_let-7a_microRNA,miRNA,7
kshv-miR-K12-10b,kshv_microRNA,ENSG00000181163_ENST00000393820_NPM1_mRNA,mRNA,7
