mirna,mirna_type,target,target_type,count
mirna,-,total,-,3602
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000240831_ENST00000459949_AC112777-1_pseudo,pseudogene,187
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000241279_ENST00000464639_AC110615-2_pseudo,pseudogene,117
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000240155_ENST00000482877_AC114498-1_pseudo,pseudogene,56
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000241780_ENST00000469340_AC025627-7_pseudo,pseudogene,56
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000243163_ENST00000470405_AL353147-3_pseudo,pseudogene,53
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000242503_ENST00000481774_AL158819-4_pseudo,pseudogene,53
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000076_MirBase_miR-21_microRNA,miRNA,47
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000239776_ENST00000488123_AC079949-1_pseudo,pseudogene,46
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000062_MirBase_let-7a_microRNA,miRNA,44
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000240656_ENST00000494879_AC068594-1_pseudo,pseudogene,39
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000242693_ENST00000492032_AC108047-1_pseudo,pseudogene,37
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000239935_ENST00000489202_AC116340-1_pseudo,pseudogene,36
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000166441_ENST00000314138_RPL27A_mRNA,mRNA,32
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000169567_ENST00000304043_HINT1_mRNA,mRNA,30
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000241115_ENST00000479623_AP001347-1_pseudo,pseudogene,30
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000510_MirBase_miR-320a_microRNA,miRNA,29
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000415_MirBase_let-7i_microRNA,miRNA,29
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000063_MirBase_let-7b_microRNA,miRNA,26
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000093_MirBase_miR-93_microRNA,miRNA,25
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000075624_ENST00000331789_ACTB_mRNA,mRNA,22
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000646_MirBase_miR-155_microRNA,miRNA,21
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000239777_ENST00000498323_AC091189-1_pseudo,pseudogene,20
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000244663_ENST00000494159_AC007599-1_pseudo,pseudogene,20
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000074_MirBase_miR-19b_microRNA,miRNA,17
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0004494_MirBase_miR-21*_microRNA,miRNA,15
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000077_MirBase_miR-22_microRNA,miRNA,15
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000257_MirBase_miR-181b_microRNA,miRNA,14
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000241530_ENST00000490522_AC006368-1_pseudo,pseudogene,14
kshv-miR-K12-6-5p,kshv_microRNA,kshv-miR-K12-10b,kshv_microRNA,14
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000241376_ENST00000492060_AL606830-1_pseudo,pseudogene,13
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000064_MirBase_let-7c_microRNA,miRNA,13
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000430_MirBase_miR-138_microRNA,miRNA,12
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000078_MirBase_miR-23a_microRNA,miRNA,12
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000680_MirBase_miR-106b_microRNA,miRNA,12
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0005792_MirBase_miR-320b_microRNA,miRNA,11
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000073_MirBase_miR-19a_microRNA,miRNA,11
kshv-miR-K12-6-5p,kshv_microRNA,ENSG00000084207_ENST00000398606_GSTP1_mRNA,mRNA,10
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000065_MirBase_let-7d_microRNA,miRNA,10
kshv-miR-K12-6-5p,kshv_microRNA,MIMAT0000100_MirBase_miR-29b_microRNA,miRNA,10
