mirna,mirna_type,target,target_type,count
mirna,-,total,-,7100
kshv-miR-K12-9*,kshv_microRNA,ENSG00000239776_ENST00000488123_AC079949-1_pseudo,pseudogene,419
kshv-miR-K12-9*,kshv_microRNA,MIMAT0000510_MirBase_miR-320a_microRNA,miRNA,283
kshv-miR-K12-9*,kshv_microRNA,ENSG00000240656_ENST00000494879_AC068594-1_pseudo,pseudogene,203
kshv-miR-K12-9*,kshv_microRNA,MIMAT0000069_MirBase_miR-16_microRNA,miRNA,200
kshv-miR-K12-9*,kshv_microRNA,ENSG00000240831_ENST00000459949_AC112777-1_pseudo,pseudogene,100
kshv-miR-K12-9*,kshv_microRNA,kshv-miR-K12-4-3p,kshv_microRNA,96
kshv-miR-K12-9*,kshv_microRNA,ENSG00000239935_ENST00000489202_AC116340-1_pseudo,pseudogene,93
kshv-miR-K12-9*,kshv_microRNA,MIMAT0005792_MirBase_miR-320b_microRNA,miRNA,86
kshv-miR-K12-9*,kshv_microRNA,MIMAT0000278_MirBase_miR-221_microRNA,miRNA,76
kshv-miR-K12-9*,kshv_microRNA,MIMAT0000076_MirBase_miR-21_microRNA,miRNA,70
kshv-miR-K12-9*,kshv_microRNA,ENSG00000241530_ENST00000490522_AC006368-1_pseudo,pseudogene,59
kshv-miR-K12-9*,kshv_microRNA,ENSG00000240155_ENST00000482877_AC114498-1_pseudo,pseudogene,45
kshv-miR-K12-9*,kshv_microRNA,ENSG00000241780_ENST00000469340_AC025627-7_pseudo,pseudogene,44
kshv-miR-K12-9*,kshv_microRNA,ENSG00000243163_ENST00000470405_AL353147-3_pseudo,pseudogene,43
kshv-miR-K12-9*,kshv_microRNA,ENSG00000244288_ENST00000496399_AC090360-1_pseudo,pseudogene,43
kshv-miR-K12-9*,kshv_microRNA,ENSG00000130726_ENST00000253024_TRIM28_mRNA,mRNA,43
kshv-miR-K12-9*,kshv_microRNA,MIMAT0000440_MirBase_miR-191_microRNA,miRNA,38
kshv-miR-K12-9*,kshv_microRNA,ENSG00000240117_ENST00000474898_AC004448-1_pseudo,pseudogene,36
kshv-miR-K12-9*,kshv_microRNA,MIMAT0000430_MirBase_miR-138_microRNA,miRNA,35
kshv-miR-K12-9*,kshv_microRNA,ENSG00000242503_ENST00000481774_AL158819-4_pseudo,pseudogene,35
kshv-miR-K12-9*,kshv_microRNA,ENSG00000242693_ENST00000492032_AC108047-1_pseudo,pseudogene,34
kshv-miR-K12-9*,kshv_microRNA,ENSG00000241482_ENST00000473498_AC064836-1_pseudo,pseudogene,30
kshv-miR-K12-9*,kshv_microRNA,MIMAT0000415_MirBase_let-7i_microRNA,miRNA,30
kshv-miR-K12-9*,kshv_microRNA,ENSG00000241115_ENST00000479623_AP001347-1_pseudo,pseudogene,30
kshv-miR-K12-9*,kshv_microRNA,ENSG00000241781_ENST00000463508_AL161626-1_pseudo,pseudogene,28
kshv-miR-K12-9*,kshv_microRNA,ENSG00000244466_ENST00000465918_AC015845-2_pseudo,pseudogene,27
kshv-miR-K12-9*,kshv_microRNA,ENSG00000239943_ENST00000489326_AC079460-1_pseudo,pseudogene,26
kshv-miR-K12-9*,kshv_microRNA,ENSG00000243172_ENST00000463796_AP003035-1_pseudo,pseudogene,24
kshv-miR-K12-9*,kshv_microRNA,ENSG00000116198_ENST00000378230_KIAA0562_mRNA,mRNA,24
kshv-miR-K12-9*,kshv_microRNA,MIMAT0000084_MirBase_miR-27a_microRNA,miRNA,23
kshv-miR-K12-9*,kshv_microRNA,MIMAT0000067_MirBase_let-7f_microRNA,miRNA,23
kshv-miR-K12-9*,kshv_microRNA,ENSG00000081307_ENST00000264991_UBA5_mRNA,mRNA,22
kshv-miR-K12-9*,kshv_microRNA,ENSG00000081307_ENST00000356232_UBA5_mRNA,mRNA,22
kshv-miR-K12-9*,kshv_microRNA,ENSG00000081307_ENST00000393131_UBA5_mRNA,mRNA,22
kshv-miR-K12-9*,kshv_microRNA,ENSG00000081307_ENST00000494238_UBA5_mRNA,mRNA,22
kshv-miR-K12-9*,kshv_microRNA,kshv-miR-K12-8,kshv_microRNA,22
kshv-miR-K12-9*,kshv_microRNA,MIMAT0000101_MirBase_miR-103_microRNA,miRNA,21
kshv-miR-K12-9*,kshv_microRNA,MIMAT0000062_MirBase_let-7a_microRNA,miRNA,21
kshv-miR-K12-9*,kshv_microRNA,MIMAT0000068_MirBase_miR-15a_microRNA,miRNA,20
kshv-miR-K12-9*,kshv_microRNA,MIMAT0005793_MirBase_miR-320c_microRNA,miRNA,20
kshv-miR-K12-9*,kshv_microRNA,ENSG00000145632_ENST00000274289_PLK2_mRNA,mRNA,20
kshv-miR-K12-9*,kshv_microRNA,MIMAT0000646_MirBase_miR-155_microRNA,miRNA,20
kshv-miR-K12-9*,kshv_microRNA,MIMAT0000417_MirBase_miR-15b_microRNA,miRNA,20
kshv-miR-K12-9*,kshv_microRNA,ENSG00000155827_ENST00000389120_RNF20_mRNA,mRNA,19
kshv-miR-K12-9*,kshv_microRNA,MIMAT0000078_MirBase_miR-23a_microRNA,miRNA,19
kshv-miR-K12-9*,kshv_microRNA,MIMAT0000279_MirBase_miR-222_microRNA,miRNA,19
kshv-miR-K12-9*,kshv_microRNA,MIMAT0000092_MirBase_miR-92a_microRNA,miRNA,19
kshv-miR-K12-9*,kshv_microRNA,MIMAT0000244_MirBase_miR-30c_microRNA,miRNA,19
