mirna,mirna_type,target,target_type,count
kshv-miR-K12-1,kshv-miRNA,ENSG00000171940_ENST00000371471_ZNF217_mRNA,mRNA,209
kshv-miR-K12-1,kshv-miRNA,ENSG00000241093_ENST00000470516_AC021914-2_pseudo,pseudogene,92
kshv-miR-K12-1,kshv-miRNA,ENSG00000198959_ENST00000361475_TGM2_mRNA,mRNA,74
kshv-miR-K12-1,kshv-miRNA,ENSG00000124762_ENST00000405375_CDKN1A_mRNA,mRNA,44
kshv-miR-K12-1,kshv-miRNA,ENSG00000124762_ENST00000244741_CDKN1A_mRNA,mRNA,44
kshv-miR-K12-1,kshv-miRNA,ENSG00000124762_ENST00000448526_CDKN1A_mRNA,mRNA,44
kshv-miR-K12-1,kshv-miRNA,ENSG00000112996_ENST00000507110_MRPS30_mRNA,mRNA,32
kshv-miR-K12-1,kshv-miRNA,ENSG00000242927_ENST00000492114_AC073308-1_pseudo,pseudogene,32
kshv-miR-K12-1,kshv-miRNA,MIMAT0000420_MirBase_miR-30b_microRNA,miRNA,32
kshv-miR-K12-1,kshv-miRNA,ENSG00000243652_ENST00000483314_AC117444-1_pseudo,pseudogene,30
kshv-miR-K12-1,kshv-miRNA,MIMAT0000244_MirBase_miR-30c_microRNA,miRNA,27
kshv-miR-K12-1,kshv-miRNA,ENSG00000187555_ENST00000344836_USP7_mRNA,mRNA,26
kshv-miR-K12-1,kshv-miRNA,ENSG00000196781_ENST00000376499_TLE1_mRNA,mRNA,25
kshv-miR-K12-1,kshv-miRNA,ENSG00000151090_ENST00000396671_THRB_mRNA,mRNA,25
kshv-miR-K12-1,kshv-miRNA,ENSG00000151090_ENST00000416811_THRB_mRNA,mRNA,25
kshv-miR-K12-1,kshv-miRNA,ENSG00000151090_ENST00000416420_THRB_mRNA,mRNA,25
kshv-miR-K12-1,kshv-miRNA,ENSG00000151090_ENST00000356447_THRB_mRNA,mRNA,25
kshv-miR-K12-1,kshv-miRNA,ENSG00000143418_ENST00000368954_LASS2_mRNA,mRNA,23
kshv-miR-K12-1,kshv-miRNA,ENSG00000143418_ENST00000271688_LASS2_mRNA,mRNA,23
kshv-miR-K12-1,kshv-miRNA,ENSG00000135679_ENST00000462284_MDM2_mRNA,mRNA,21
kshv-miR-K12-1,kshv-miRNA,ENSG00000175390_ENST00000449102_EIF3F_mRNA,mRNA,20
kshv-miR-K12-1,kshv-miRNA,MIMAT0000279_MirBase_miR-222_microRNA,miRNA,19
kshv-miR-K12-1,kshv-miRNA,ENSG00000153113_ENST00000395812_CAST_mRNA,mRNA,18
kshv-miR-K12-1,kshv-miRNA,ENSG00000153113_ENST00000359176_CAST_mRNA,mRNA,18
kshv-miR-K12-1,kshv-miRNA,ENSG00000153113_ENST00000309190_CAST_mRNA,mRNA,18
kshv-miR-K12-1,kshv-miRNA,ENSG00000153113_ENST00000421689_CAST_mRNA,mRNA,18
kshv-miR-K12-1,kshv-miRNA,ENSG00000144827_ENST00000273359_ABHD10_mRNA,mRNA,18
kshv-miR-K12-1,kshv-miRNA,ENSG00000056586_ENST00000423239_RC3H2_mRNA,mRNA,18
kshv-miR-K12-1,kshv-miRNA,ENSG00000056586_ENST00000357244_RC3H2_mRNA,mRNA,18
kshv-miR-K12-1,kshv-miRNA,ENSG00000056586_ENST00000373670_RC3H2_mRNA,mRNA,18
kshv-miR-K12-1,kshv-miRNA,MIMAT0000092_MirBase_miR-92a_microRNA,miRNA,17
kshv-miR-K12-1,kshv-miRNA,ENSG00000139793_ENST00000345429_MBNL2_mRNA,mRNA,15
kshv-miR-K12-1,kshv-miRNA,ENSG00000139793_ENST00000343600_MBNL2_mRNA,mRNA,15
kshv-miR-K12-1,kshv-miRNA,ENSG00000139793_ENST00000397601_MBNL2_mRNA,mRNA,15
kshv-miR-K12-1,kshv-miRNA,ENSG00000198899_ENST00000361899_MT-ATP6_mRNA,mRNA,15
kshv-miR-K12-1,kshv-miRNA,ENSG00000241279_ENST00000464639_AC110615-2_pseudo,pseudogene,15
kshv-miR-K12-1,kshv-miRNA,ENSG00000101333_ENST00000278655_PLCB4_mRNA,mRNA,13
kshv-miR-K12-1,kshv-miRNA,ENSG00000101333_ENST00000378501_PLCB4_mRNA,mRNA,13
kshv-miR-K12-1,kshv-miRNA,ENSG00000101333_ENST00000334005_PLCB4_mRNA,mRNA,13
kshv-miR-K12-1,kshv-miRNA,ENSG00000101333_ENST00000378493_PLCB4_mRNA,mRNA,13
kshv-miR-K12-1,kshv-miRNA,ENSG00000134684_ENST00000373477_YARS_mRNA,mRNA,13
kshv-miR-K12-1,kshv-miRNA,ENSG00000169554_ENST00000409487_ZEB2_mRNA,mRNA,13
kshv-miR-K12-1,kshv-miRNA,ENSG00000169554_ENST00000303660_ZEB2_mRNA,mRNA,13
kshv-miR-K12-1,kshv-miRNA,ENSG00000013619_ENST00000370401_MAMLD1_mRNA,mRNA,12
kshv-miR-K12-1,kshv-miRNA,ENSG00000013619_ENST00000432680_MAMLD1_mRNA,mRNA,12
kshv-miR-K12-1,kshv-miRNA,ENSG00000013619_ENST00000262858_MAMLD1_mRNA,mRNA,12
kshv-miR-K12-1,kshv-miRNA,ENSG00000239935_ENST00000489202_AC116340-1_pseudo,pseudogene,12
kshv-miR-K12-1,kshv-miRNA,ENSG00000126698_ENST00000263697_DNAJC8_mRNA,mRNA,12
kshv-miR-K12-1,kshv-miRNA,ENSG00000138802_ENST00000265175_SEC24B_mRNA,mRNA,12
kshv-miR-K12-1,kshv-miRNA,ENSG00000138802_ENST00000399100_SEC24B_mRNA,mRNA,12
kshv-miR-K12-1,kshv-miRNA,ENSG00000108639_ENST00000225777_SYNGR2_mRNA,mRNA,12
kshv-miR-K12-1,kshv-miRNA,ENSG00000100906_ENST00000216797_NFKBIA_mRNA,mRNA,11
kshv-miR-K12-1,kshv-miRNA,ENSG00000100811_ENST00000262238_YY1_mRNA,mRNA,11
kshv-miR-K12-1,kshv-miRNA,ENSG00000100380_ENST00000216218_ST13_mRNA,mRNA,11
kshv-miR-K12-1,kshv-miRNA,ENSG00000130340_ENST00000392185_SNX9_mRNA,mRNA,11
kshv-miR-K12-1,kshv-miRNA,ENSG00000133997_ENST00000256379_MED6_mRNA,mRNA,10
kshv-miR-K12-1,kshv-miRNA,ENSG00000108055_ENST00000361804_SMC3_mRNA,mRNA,10
kshv-miR-K12-1,kshv-miRNA,ENSG00000109381_ENST00000358635_ELF2_mRNA,mRNA,10
kshv-miR-K12-1,kshv-miRNA,ENSG00000109381_ENST00000394235_ELF2_mRNA,mRNA,10
kshv-miR-K12-1,kshv-miRNA,ENSG00000124201_ENST00000371752_ZNFX1_mRNA,mRNA,9
