mirna,mirna_type,target,target_type,count
kshv-miR-K12-10a*,kshv-miRNA,kshv-miR-K12-10b,kshv-miRNA,7
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000233276_ENST00000419349_GPX1_mRNA,mRNA,5
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000233276_ENST00000419783_GPX1_mRNA,mRNA,5
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000240831_ENST00000459949_AC112777-1_pseudo,pseudogene,4
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000239935_ENST00000489202_AC116340-1_pseudo,pseudogene,3
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000243163_ENST00000470405_AL353147-3_pseudo,pseudogene,2
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000242503_ENST00000481774_AL158819-4_pseudo,pseudogene,2
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000240155_ENST00000482877_AC114498-1_pseudo,pseudogene,2
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000241780_ENST00000469340_AC025627-7_pseudo,pseudogene,2
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000173065_ENST00000452648_C17orf63_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000173065_ENST00000341217_C17orf63_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000187109_ENST00000261182_NAP1L1_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000187109_ENST00000393263_NAP1L1_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000243884_ENST00000471006_AL163011-2_pseudo,pseudogene,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000106049_ENST00000265395_HIBADH_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv-miRNA,kshv-miR-K12-10a,kshv-miRNA,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000243449_ENST00000382878_C4orf48_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000243449_ENST00000409860_C4orf48_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv-miRNA,MIMAT0000084_MirBase_miR-27a_microRNA,miRNA,1
kshv-miR-K12-10a*,kshv-miRNA,MIMAT0000062_MirBase_let-7a_microRNA,miRNA,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000112992_ENST00000264663_NNT_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000112992_ENST00000344920_NNT_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000117500_ENST00000479918_TMED5_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000117500_ENST00000370282_TMED5_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000006125_ENST00000262325_AP2B1_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000006125_ENST00000312678_AP2B1_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000197713_ENST00000359429_RPE_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000197713_ENST00000354506_RPE_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000197713_ENST00000429921_RPE_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000108294_ENST00000225426_PSMB3_mRNA,mRNA,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000241115_ENST00000479623_AP001347-1_pseudo,pseudogene,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000239777_ENST00000498323_AC091189-1_pseudo,pseudogene,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000243132_ENST00000472675_AL590396-1_pseudo,pseudogene,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000243065_ENST00000496947_AC068137-9_pseudo,pseudogene,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000241591_ENST00000470885_AC025731-3_pseudo,pseudogene,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000240259_ENST00000467964_AC131055-3_pseudo,pseudogene,1
kshv-miR-K12-10a*,kshv-miRNA,ENSG00000242257_ENST00000476780_AC044839-2_pseudo,pseudogene,1

