mirna,mirna_type,target,target_type,count
kshv-miR-K12-4-3p,kshv-miRNA,ENSG00000240155_ENST00000482877_AC114498-1_pseudo,pseudogene,269
kshv-miR-K12-4-3p,kshv-miRNA,ENSG00000241780_ENST00000469340_AC025627-7_pseudo,pseudogene,257
kshv-miR-K12-4-3p,kshv-miRNA,ENSG00000242503_ENST00000481774_AL158819-4_pseudo,pseudogene,233
kshv-miR-K12-4-3p,kshv-miRNA,ENSG00000243163_ENST00000470405_AL353147-3_pseudo,pseudogene,222
kshv-miR-K12-4-3p,kshv-miRNA,MIMAT0000084_MirBase_miR-27a_microRNA,miRNA,185
kshv-miR-K12-4-3p,kshv-miRNA,ENSG00000241376_ENST00000492060_AL606830-1_pseudo,pseudogene,184
kshv-miR-K12-4-3p,kshv-miRNA,ENSG00000240831_ENST00000459949_AC112777-1_pseudo,pseudogene,182
kshv-miR-K12-4-3p,kshv-miRNA,MIMAT0000244_MirBase_miR-30c_microRNA,miRNA,158
kshv-miR-K12-4-3p,kshv-miRNA,ENSG00000132294_ENST00000254624_EFR3A_mRNA,mRNA,132
kshv-miR-K12-4-3p,kshv-miRNA,MIMAT0000420_MirBase_miR-30b_microRNA,miRNA,116
kshv-miR-K12-4-3p,kshv-miRNA,MIMAT0002819_MirBase_miR-193b_microRNA,miRNA,109
kshv-miR-K12-4-3p,kshv-miRNA,MIMAT0000080_MirBase_miR-24_microRNA,miRNA,104
kshv-miR-K12-4-3p,kshv-miRNA,kshv-miR-K12-9*,kshv-miRNA,94
kshv-miR-K12-4-3p,kshv-miRNA,MIMAT0000062_MirBase_let-7a_microRNA,miRNA,82
kshv-miR-K12-4-3p,kshv-miRNA,ENSG00000241279_ENST00000464639_AC110615-2_pseudo,pseudogene,76
kshv-miR-K12-4-3p,kshv-miRNA,ENSG00000139233_ENST00000266604_LLPH_mRNA,mRNA,75
kshv-miR-K12-4-3p,kshv-miRNA,ENSG00000242517_ENST00000498581_AC018607-1_pseudo,pseudogene,71
kshv-miR-K12-4-3p,kshv-miRNA,MIMAT0000076_MirBase_miR-21_microRNA,miRNA,52
kshv-miR-K12-4-3p,kshv-miRNA,ENSG00000239935_ENST00000489202_AC116340-1_pseudo,pseudogene,51
kshv-miR-K12-4-3p,kshv-miRNA,ENSG00000181789_ENST00000314797_COPG_mRNA,mRNA,48
kshv-miR-K12-4-3p,kshv-miRNA,ENSG00000241781_ENST00000463508_AL161626-1_pseudo,pseudogene,43
