mirna,mirna_type,target,target_type,count
kshv-miR-K12-5,KSHV-miRNA,MIMAT0000084_MirBase_miR-27a_microRNA,miRNA,36
kshv-miR-K12-5,KSHV-miRNA,ENSG00000184009_ENST00000331925_ACTG1_mRNA,mRNA,18
kshv-miR-K12-5,KSHV-miRNA,MIMAT0000078_MirBase_miR-23a_microRNA,miRNA,17
kshv-miR-K12-5,KSHV-miRNA,ENSG00000075624_ENST00000331789_ACTB_mRNA,mRNA,17
kshv-miR-K12-5,KSHV-miRNA,MIMAT0000244_MirBase_miR-30c_microRNA,miRNA,15
kshv-miR-K12-5,KSHV-miRNA,ENSG00000241279_ENST00000464639_AC110615-2_pseudo,pseudogene,11
kshv-miR-K12-5,KSHV-miRNA,MIMAT0000420_MirBase_miR-30b_microRNA,miRNA,11
kshv-miR-K12-5,KSHV-miRNA,ENSG00000155506_ENST00000336314_LARP1_mRNA,mRNA,9
kshv-miR-K12-5,KSHV-miRNA,MIMAT0000082_MirBase_miR-26a_microRNA,miRNA,9
kshv-miR-K12-5,KSHV-miRNA,MIMAT0000092_MirBase_miR-92a_microRNA,miRNA,7
kshv-miR-K12-5,KSHV-miRNA,MIMAT0000074_MirBase_miR-19b_microRNA,miRNA,7
kshv-miR-K12-5,KSHV-miRNA,ENSG00000241115_ENST00000479623_AP001347-1_pseudo,pseudogene,7
kshv-miR-K12-5,KSHV-miRNA,MIMAT0000418_MirBase_miR-23b_microRNA,miRNA,7
kshv-miR-K12-5,KSHV-miRNA,kshv-miR-K12-12*,KSHV-miRNA,6
kshv-miR-K12-5,KSHV-miRNA,ENSG00000239935_ENST00000489202_AC116340-1_pseudo,pseudogene,6
kshv-miR-K12-5,KSHV-miRNA,MIMAT0000419_MirBase_miR-27b_microRNA,miRNA,6
kshv-miR-K12-5,KSHV-miRNA,ENSG00000150991_ENST00000339647_UBC_mRNA,mRNA,6
kshv-miR-K12-5,KSHV-miRNA,ENSG00000239777_ENST00000498323_AC091189-1_pseudo,pseudogene,5
kshv-miR-K12-5,KSHV-miRNA,ENSG00000243172_ENST00000463796_AP003035-1_pseudo,pseudogene,5
kshv-miR-K12-5,KSHV-miRNA,ENSG00000240155_ENST00000482877_AC114498-1_pseudo,pseudogene,5
kshv-miR-K12-5,KSHV-miRNA,ENSG00000241780_ENST00000469340_AC025627-7_pseudo,pseudogene,5
kshv-miR-K12-5,KSHV-miRNA,ENSG00000198642_ENST00000359039_KLHL9_mRNA,mRNA,4
kshv-miR-K12-5,KSHV-miRNA,ENSG00000242503_ENST00000481774_AL158819-4_pseudo,pseudogene,4
kshv-miR-K12-5,KSHV-miRNA,ENSG00000243163_ENST00000470405_AL353147-3_pseudo,pseudogene,4
kshv-miR-K12-5,KSHV-miRNA,ENSG00000137073_ENST00000379238_UBAP2_mRNA,mRNA,4
kshv-miR-K12-5,KSHV-miRNA,ENSG00000137073_ENST00000360802_UBAP2_mRNA,mRNA,4
kshv-miR-K12-5,KSHV-miRNA,ENSG00000137073_ENST00000449054_UBAP2_mRNA,mRNA,4
kshv-miR-K12-5,KSHV-miRNA,ENSG00000173674_ENST00000379607_EIF1AX_mRNA,mRNA,4
kshv-miR-K12-5,KSHV-miRNA,ENSG00000242693_ENST00000492032_AC108047-1_pseudo,pseudogene,3
kshv-miR-K12-5,KSHV-miRNA,ENSG00000132471_ENST00000254806_WBP2_mRNA,mRNA,3
kshv-miR-K12-5,KSHV-miRNA,ENSG00000127445_ENST00000247970_PIN1_mRNA,mRNA,3
kshv-miR-K12-5,KSHV-miRNA,ENSG00000109971_ENST00000227378_HSPA8_mRNA,mRNA,2
kshv-miR-K12-5,KSHV-miRNA,ENSG00000109971_ENST00000453788_HSPA8_mRNA,mRNA,2
kshv-miR-K12-5,KSHV-miRNA,ENSG00000050820_ENST00000162330_BCAR1_mRNA,mRNA,2
kshv-miR-K12-5,KSHV-miRNA,ENSG00000050820_ENST00000418647_BCAR1_mRNA,mRNA,2
kshv-miR-K12-5,KSHV-miRNA,ENSG00000050820_ENST00000420641_BCAR1_mRNA,mRNA,2
kshv-miR-K12-5,KSHV-miRNA,ENSG00000050820_ENST00000393422_BCAR1_mRNA,mRNA,2
kshv-miR-K12-5,KSHV-miRNA,ENSG00000050820_ENST00000393420_BCAR1_mRNA,mRNA,2
kshv-miR-K12-5,KSHV-miRNA,ENSG00000124942_ENST00000378024_AHNAK_mRNA,mRNA,2
kshv-miR-K12-5,KSHV-miRNA,ENSG00000198959_ENST00000361475_TGM2_mRNA,mRNA,2
kshv-miR-K12-5,KSHV-miRNA,ENSG00000141568_ENST00000335255_FOXK2_mRNA,mRNA,2
kshv-miR-K12-5,KSHV-miRNA,ENSG00000084207_ENST00000398606_GSTP1_mRNA,mRNA,2
kshv-miR-K12-5,KSHV-miRNA,kshv-miR-K12-7,KSHV-miRNA,2
kshv-miR-K12-5,KSHV-miRNA,ENSG00000239776_ENST00000488123_AC079949-1_pseudo,pseudogene,2
kshv-miR-K12-5,KSHV-miRNA,ENSG00000167996_ENST00000273550_FTH1_mRNA,mRNA,2
kshv-miR-K12-5,KSHV-miRNA,ENSG00000167996_ENST00000406545_FTH1_mRNA,mRNA,2
kshv-miR-K12-5,KSHV-miRNA,ENSG00000068654_ENST00000263857_POLR1A_mRNA,mRNA,2
kshv-miR-K12-5,KSHV-miRNA,ENSG00000065534_ENST00000360772_MYLK_mRNA,mRNA,1
kshv-miR-K12-5,KSHV-miRNA,ENSG00000115677_ENST00000391976_HDLBP_mRNA,mRNA,1
kshv-miR-K12-5,KSHV-miRNA,ENSG00000115677_ENST00000310931_HDLBP_mRNA,mRNA,1
kshv-miR-K12-5,KSHV-miRNA,ENSG00000115677_ENST00000391975_HDLBP_mRNA,mRNA,1
kshv-miR-K12-5,KSHV-miRNA,ENSG00000147162_ENST00000373719_OGT_mRNA,mRNA,1
kshv-miR-K12-5,KSHV-miRNA,ENSG00000147162_ENST00000373701_OGT_mRNA,mRNA,1
kshv-miR-K12-5,KSHV-miRNA,ENSG00000074266_ENST00000327320_EED_mRNA,mRNA,1
kshv-miR-K12-5,KSHV-miRNA,ENSG00000074266_ENST00000263360_EED_mRNA,mRNA,1
