mirna,mirna_type,target,target_type,count
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000155090_ENST00000285407_KLF10_mRNA,mRNA,78
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000155090_ENST00000395884_KLF10_mRNA,mRNA,77
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000241376_ENST00000492060_AL606830-1_pseudo,pseudogene,62
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000120509_ENST00000374454_PDZD11_mRNA,mRNA,45
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000120509_ENST00000239666_PDZD11_mRNA,mRNA,45
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000133112_ENST00000379060_TPT1_mRNA,mRNA,42
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000133112_ENST00000309246_TPT1_mRNA,mRNA,42
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000241780_ENST00000469340_AC025627-7_pseudo,pseudogene,39
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000240155_ENST00000482877_AC114498-1_pseudo,pseudogene,39
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000243163_ENST00000470405_AL353147-3_pseudo,pseudogene,38
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000242503_ENST00000481774_AL158819-4_pseudo,pseudogene,35
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000149480_ENST00000278823_MTA2_mRNA,mRNA,34
kshv-miR-K12-6-3p,KSHV-miRNA,MIMAT0000244_MirBase_miR-30c_microRNA,miRNA,33
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000099995_ENST00000215793_SF3A1_mRNA,mRNA,29
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000099995_ENST00000439242_SF3A1_mRNA,mRNA,29
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000180667_ENST00000315927_YOD1_mRNA,mRNA,25
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000073792_ENST00000346192_IGF2BP2_mRNA,mRNA,25
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000073792_ENST00000382199_IGF2BP2_mRNA,mRNA,25
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000142534_ENST00000270625_AC010619-1_mRNA,mRNA,24
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000124422_ENST00000455117_USP22_mRNA,mRNA,23
kshv-miR-K12-6-3p,KSHV-miRNA,ENSG00000067225_ENST00000335181_PKM2_mRNA,mRNA,22
kshv-miR-K12-6-3p,KSHV-miRNA,MIMAT0000069_MirBase_miR-16_microRNA,miRNA,21
