mirna,mirna_type,target,target_type,count
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000241530_ENST00000490522_AC006368-1_pseudo,pseudogene,36
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000240831_ENST00000459949_AC112777-1_pseudo,pseudogene,4
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000161847_ENST00000293677_RAVER1_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000059691_ENST00000263985_PET112L_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,kshv-miR-K12-10a,KSHV-miRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000197111_ENST00000359462_PCBP2_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000197111_ENST00000439930_PCBP2_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000197111_ENST00000359282_PCBP2_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000101363_ENST00000373605_MANBAL_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000101363_ENST00000397152_MANBAL_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000101363_ENST00000397151_MANBAL_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000035862_ENST00000262768_TIMP2_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000124882_ENST00000244869_EREG_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000243013_ENST00000483932_AL592307-2_pseudo,pseudogene,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000087152_ENST00000389384_ATXN7L3_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000087152_ENST00000454077_ATXN7L3_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000172869_ENST00000311085_DMXL1_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000023608_ENST00000216294_SNAPC1_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,MIMAT0000081_MirBase_miR-25_microRNA,miRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000134108_ENST00000256496_ARL8B_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000134108_ENST00000438743_ARL8B_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000163545_ENST00000441520_NUAK2_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000132471_ENST00000254806_WBP2_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000022567_ENST00000024061_SLC45A4_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000196924_ENST00000369863_FLNA_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000196924_ENST00000360319_FLNA_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000196924_ENST00000422373_FLNA_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000196924_ENST00000369850_FLNA_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000149091_ENST00000456247_DGKZ_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000149091_ENST00000454345_DGKZ_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000149091_ENST00000343674_DGKZ_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,ENSG00000149091_ENST00000395574_DGKZ_mRNA,mRNA,1
kshv-miR-K12-7*,KSHV-miRNA,kshv-miR-K12-6-5p,KSHV-miRNA,1

