mirna,mirna_type,target,target_type,count
kshv-miR-K12-12*,kshv-miRNA,ENSG00000240831_ENST00000459949_AC112777-1_pseudo,pseudogene,1229
kshv-miR-K12-12*,kshv-miRNA,ENSG00000239935_ENST00000489202_AC116340-1_pseudo,pseudogene,425
kshv-miR-K12-12*,kshv-miRNA,ENSG00000244663_ENST00000494159_AC007599-1_pseudo,pseudogene,150
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000062_MirBase_let-7a_microRNA,miRNA,133
kshv-miR-K12-12*,kshv-miRNA,ENSG00000241530_ENST00000490522_AC006368-1_pseudo,pseudogene,111
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000510_MirBase_miR-320a_microRNA,miRNA,109
kshv-miR-K12-12*,kshv-miRNA,ENSG00000241279_ENST00000464639_AC110615-2_pseudo,pseudogene,79
kshv-miR-K12-12*,kshv-miRNA,ENSG00000241781_ENST00000463508_AL161626-1_pseudo,pseudogene,76
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000084_MirBase_miR-27a_microRNA,miRNA,76
kshv-miR-K12-12*,kshv-miRNA,ENSG00000242257_ENST00000476780_AC044839-2_pseudo,pseudogene,67
kshv-miR-K12-12*,kshv-miRNA,ENSG00000239776_ENST00000488123_AC079949-1_pseudo,pseudogene,66
kshv-miR-K12-12*,kshv-miRNA,ENSG00000116791_ENST00000370872_CRYZ_mRNA,mRNA,63
kshv-miR-K12-12*,kshv-miRNA,ENSG00000116791_ENST00000340866_CRYZ_mRNA,mRNA,63
kshv-miR-K12-12*,kshv-miRNA,ENSG00000116791_ENST00000370871_CRYZ_mRNA,mRNA,63
kshv-miR-K12-12*,kshv-miRNA,ENSG00000116791_ENST00000417775_CRYZ_mRNA,mRNA,63
kshv-miR-K12-12*,kshv-miRNA,ENSG00000170144_ENST00000435711_HNRNPA3_mRNA,mRNA,63
kshv-miR-K12-12*,kshv-miRNA,ENSG00000170144_ENST00000392524_HNRNPA3_mRNA,mRNA,63
kshv-miR-K12-12*,kshv-miRNA,ENSG00000067225_ENST00000335181_PKM2_mRNA,mRNA,58
kshv-miR-K12-12*,kshv-miRNA,ENSG00000067225_ENST00000319622_PKM2_mRNA,mRNA,57
kshv-miR-K12-12*,kshv-miRNA,ENSG00000067225_ENST00000389093_PKM2_mRNA,mRNA,57
kshv-miR-K12-12*,kshv-miRNA,ENSG00000067225_ENST00000419739_PKM2_mRNA,mRNA,57
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000063_MirBase_let-7b_microRNA,miRNA,57
kshv-miR-K12-12*,kshv-miRNA,ENSG00000161016_ENST00000262584_RPL8_mRNA,mRNA,51
kshv-miR-K12-12*,kshv-miRNA,ENSG00000161016_ENST00000394920_RPL8_mRNA,mRNA,51
kshv-miR-K12-12*,kshv-miRNA,ENSG_ENST_chr1-trna59-GluCTC_tRNA,tRNA,47
kshv-miR-K12-12*,kshv-miRNA,ENSG_ENST_chr1-trna116-GluCTC_tRNA,tRNA,47
kshv-miR-K12-12*,kshv-miRNA,ENSG00000171858_ENST00000343986_RPS21_mRNA,mRNA,43
kshv-miR-K12-12*,kshv-miRNA,ENSG00000171858_ENST00000317311_RPS21_mRNA,mRNA,43
kshv-miR-K12-12*,kshv-miRNA,ENSG00000242693_ENST00000492032_AC108047-1_pseudo,pseudogene,43
kshv-miR-K12-12*,kshv-miRNA,ENSG00000241115_ENST00000479623_AP001347-1_pseudo,pseudogene,43
kshv-miR-K12-12*,kshv-miRNA,ENSG00000239647_ENST00000478115_AC073366-1_pseudo,pseudogene,42
kshv-miR-K12-12*,kshv-miRNA,ENSG00000241780_ENST00000469340_AC025627-7_pseudo,pseudogene,42
kshv-miR-K12-12*,kshv-miRNA,ENSG00000240155_ENST00000482877_AC114498-1_pseudo,pseudogene,42
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000092_MirBase_miR-92a_microRNA,miRNA,41
kshv-miR-K12-12*,kshv-miRNA,ENSG00000243163_ENST00000470405_AL353147-3_pseudo,pseudogene,41
kshv-miR-K12-12*,kshv-miRNA,ENSG00000242503_ENST00000481774_AL158819-4_pseudo,pseudogene,40
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000076_MirBase_miR-21_microRNA,miRNA,37
kshv-miR-K12-12*,kshv-miRNA,ENSG00000240656_ENST00000494879_AC068594-1_pseudo,pseudogene,36
kshv-miR-K12-12*,kshv-miRNA,ENSG00000243185_ENST00000474870_AC108078-1_pseudo,pseudogene,35
kshv-miR-K12-12*,kshv-miRNA,MIMAT0005792_MirBase_miR-320b_microRNA,miRNA,34
kshv-miR-K12-12*,kshv-miRNA,ENSG00000239909_ENST00000496481_AC008541-1_pseudo,pseudogene,34
kshv-miR-K12-12*,kshv-miRNA,ENSG00000184863_ENST00000401878_RBM33_mRNA,mRNA,33
kshv-miR-K12-12*,kshv-miRNA,ENSG00000242517_ENST00000498581_AC018607-1_pseudo,pseudogene,33
kshv-miR-K12-12*,kshv-miRNA,ENSG00000170854_ENST00000360258_MINA_mRNA,mRNA,29
kshv-miR-K12-12*,kshv-miRNA,ENSG00000170854_ENST00000394198_MINA_mRNA,mRNA,29
kshv-miR-K12-12*,kshv-miRNA,ENSG00000170854_ENST00000333396_MINA_mRNA,mRNA,29
kshv-miR-K12-12*,kshv-miRNA,ENSG00000241376_ENST00000492060_AL606830-1_pseudo,pseudogene,29
kshv-miR-K12-12*,kshv-miRNA,ENSG00000239777_ENST00000498323_AC091189-1_pseudo,pseudogene,29
kshv-miR-K12-12*,kshv-miRNA,ENSG00000244276_ENST00000476900_AC087620-1_pseudo,pseudogene,28
kshv-miR-K12-12*,kshv-miRNA,ENSG00000244466_ENST00000465918_AC015845-2_pseudo,pseudogene,28
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000259_MirBase_miR-182_microRNA,miRNA,28
kshv-miR-K12-12*,kshv-miRNA,ENSG00000184076_ENST00000401406_UQCR10_mRNA,mRNA,27
kshv-miR-K12-12*,kshv-miRNA,ENSG00000184076_ENST00000330029_UQCR10_mRNA,mRNA,27
kshv-miR-K12-12*,kshv-miRNA,ENSG00000129625_ENST00000379638_REEP5_mRNA,mRNA,27
kshv-miR-K12-12*,kshv-miRNA,ENSG00000242932_ENST00000495608_AC022716-1_pseudo,pseudogene,24
kshv-miR-K12-12*,kshv-miRNA,ENSG00000196924_ENST00000360319_FLNA_mRNA,mRNA,23
kshv-miR-K12-12*,kshv-miRNA,ENSG00000196924_ENST00000369863_FLNA_mRNA,mRNA,23
kshv-miR-K12-12*,kshv-miRNA,ENSG00000196924_ENST00000422373_FLNA_mRNA,mRNA,23
kshv-miR-K12-12*,kshv-miRNA,ENSG00000196924_ENST00000369850_FLNA_mRNA,mRNA,23
kshv-miR-K12-12*,kshv-miRNA,ENSG00000240880_ENST00000470010_AC133605-1_pseudo,pseudogene,23
kshv-miR-K12-12*,kshv-miRNA,MIMAT0005793_MirBase_miR-320c_microRNA,miRNA,23
kshv-miR-K12-12*,kshv-miRNA,ENSG00000120137_ENST00000239231_PANK3_mRNA,mRNA,23
kshv-miR-K12-12*,kshv-miRNA,ENSG00000084754_ENST00000380649_HADHA_mRNA,mRNA,22
kshv-miR-K12-12*,kshv-miRNA,ENSG00000252906_ENST00000517097_SCARNA3_snoRNA,snoRNA,22
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000318_MirBase_miR-200b_microRNA,miRNA,22
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000064_MirBase_let-7c_microRNA,miRNA,22
kshv-miR-K12-12*,kshv-miRNA,ENSG00000242604_ENST00000463780_AL512503-1_pseudo,pseudogene,21
kshv-miR-K12-12*,kshv-miRNA,ENSG00000243013_ENST00000483932_AL592307-2_pseudo,pseudogene,21
kshv-miR-K12-12*,kshv-miRNA,ENSG00000146757_ENST00000328747_ZNF92_mRNA,mRNA,20
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000065_MirBase_let-7d_microRNA,miRNA,20
kshv-miR-K12-12*,kshv-miRNA,ENSG00000165732_ENST00000354185_DDX21_mRNA,mRNA,19
kshv-miR-K12-12*,kshv-miRNA,ENSG00000033100_ENST00000463723_CHPF2_mRNA,mRNA,19
kshv-miR-K12-12*,kshv-miRNA,ENSG00000240117_ENST00000474898_AC004448-1_pseudo,pseudogene,19
kshv-miR-K12-12*,kshv-miRNA,ENSG00000185787_ENST00000426013_MORF4L1_mRNA,mRNA,19
kshv-miR-K12-12*,kshv-miRNA,ENSG00000185787_ENST00000331268_MORF4L1_mRNA,mRNA,19
kshv-miR-K12-12*,kshv-miRNA,ENSG00000241800_ENST00000485927_AC114498-3_pseudo,pseudogene,19
kshv-miR-K12-12*,kshv-miRNA,ENSG00000165055_ENST00000262432_METTL2B_mRNA,mRNA,19
kshv-miR-K12-12*,kshv-miRNA,ENSG00000087995_ENST00000311506_METTL2A_mRNA,mRNA,19
kshv-miR-K12-12*,kshv-miRNA,ENSG00000057019_ENST00000326840_DCBLD2_mRNA,mRNA,18
kshv-miR-K12-12*,kshv-miRNA,ENSG00000124614_ENST00000326199_RPS10_mRNA,mRNA,18
kshv-miR-K12-12*,kshv-miRNA,ENSG00000223396_ENST00000441932_RPS10P7_pr-tr,pr-tr,18
kshv-miR-K12-12*,kshv-miRNA,ENSG00000243172_ENST00000463796_AP003035-1_pseudo,pseudogene,18
kshv-miR-K12-12*,kshv-miRNA,ENSG00000136521_ENST00000259037_NDUFB5_mRNA,mRNA,17
kshv-miR-K12-12*,kshv-miRNA,ENSG00000134333_ENST00000227157_LDHA_mRNA,mRNA,17
kshv-miR-K12-12*,kshv-miRNA,ENSG00000134333_ENST00000422447_LDHA_mRNA,mRNA,17
kshv-miR-K12-12*,kshv-miRNA,ENSG00000134333_ENST00000396222_LDHA_mRNA,mRNA,17
kshv-miR-K12-12*,kshv-miRNA,ENSG00000185787_ENST00000379535_MORF4L1_mRNA,mRNA,17
kshv-miR-K12-12*,kshv-miRNA,MIMAT0006764_MirBase_miR-320d_microRNA,miRNA,17
kshv-miR-K12-12*,kshv-miRNA,ENSG00000167110_ENST00000421699_GOLGA2_mRNA,mRNA,16
kshv-miR-K12-12*,kshv-miRNA,ENSG00000141279_ENST00000322157_NPEPPS_mRNA,mRNA,16
kshv-miR-K12-12*,kshv-miRNA,ENSG00000134333_ENST00000430553_LDHA_mRNA,mRNA,16
kshv-miR-K12-12*,kshv-miRNA,ENSG00000131069_ENST00000253382_ACSS2_mRNA,mRNA,15
kshv-miR-K12-12*,kshv-miRNA,ENSG00000131069_ENST00000360596_ACSS2_mRNA,mRNA,15
kshv-miR-K12-12*,kshv-miRNA,ENSG00000132716_ENST00000326837_DCAF8_mRNA,mRNA,15
kshv-miR-K12-12*,kshv-miRNA,ENSG00000132716_ENST00000368073_DCAF8_mRNA,mRNA,15
kshv-miR-K12-12*,kshv-miRNA,ENSG00000132716_ENST00000368074_DCAF8_mRNA,mRNA,15
kshv-miR-K12-12*,kshv-miRNA,ENSG00000172660_ENST00000311979_TAF15_mRNA,mRNA,15
kshv-miR-K12-12*,kshv-miRNA,ENSG00000241883_ENST00000497779_AC105383-1_pseudo,pseudogene,15
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000415_MirBase_let-7i_microRNA,miRNA,15
kshv-miR-K12-12*,kshv-miRNA,ENSG00000170540_ENST00000304414_ARL6IP1_mRNA,mRNA,14
kshv-miR-K12-12*,kshv-miRNA,ENSG00000135486_ENST00000420780_HNRNPA1_mRNA,mRNA,14
kshv-miR-K12-12*,kshv-miRNA,ENSG00000135486_ENST00000340913_HNRNPA1_mRNA,mRNA,14
kshv-miR-K12-12*,kshv-miRNA,MIMAT0003249_MirBase_miR-584_microRNA,miRNA,14
kshv-miR-K12-12*,kshv-miRNA,ENSG00000106460_ENST00000396667_TMEM106B_mRNA,mRNA,14
kshv-miR-K12-12*,kshv-miRNA,ENSG00000106460_ENST00000336176_TMEM106B_mRNA,mRNA,14
kshv-miR-K12-12*,kshv-miRNA,ENSG00000106460_ENST00000396668_TMEM106B_mRNA,mRNA,14
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000100_MirBase_miR-29b_microRNA,miRNA,14
kshv-miR-K12-12*,kshv-miRNA,ENSG00000178209_ENST00000322810_PLEC_mRNA,mRNA,14
kshv-miR-K12-12*,kshv-miRNA,ENSG00000125834_ENST00000381482_STK35_mRNA,mRNA,14
kshv-miR-K12-12*,kshv-miRNA,ENSG00000197102_ENST00000360184_DYNC1H1_mRNA,mRNA,14
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000067_MirBase_let-7f_microRNA,miRNA,14
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000082_MirBase_miR-26a_microRNA,miRNA,14
kshv-miR-K12-12*,kshv-miRNA,ENSG00000131236_ENST00000372797_CAP1_mRNA,mRNA,13
kshv-miR-K12-12*,kshv-miRNA,ENSG00000108424_ENST00000290158_KPNB1_mRNA,mRNA,13
kshv-miR-K12-12*,kshv-miRNA,ENSG00000242862_ENST00000480248_AC068476-1_pseudo,pseudogene,13
kshv-miR-K12-12*,kshv-miRNA,MIMAT0003880_MirBase_miR-671-5p_microRNA,miRNA,13
kshv-miR-K12-12*,kshv-miRNA,ENSG00000125695_ENST00000336174_STRADA_mRNA,mRNA,13
kshv-miR-K12-12*,kshv-miRNA,ENSG00000125695_ENST00000375840_STRADA_mRNA,mRNA,13
kshv-miR-K12-12*,kshv-miRNA,ENSG00000135486_ENST00000330752_HNRNPA1_mRNA,mRNA,13
kshv-miR-K12-12*,kshv-miRNA,ENSG00000144579_ENST00000273062_CTDSP1_mRNA,mRNA,13
kshv-miR-K12-12*,kshv-miRNA,ENSG00000178209_ENST00000357649_PLEC_mRNA,mRNA,13
kshv-miR-K12-12*,kshv-miRNA,ENSG00000178209_ENST00000357316_PLEC_mRNA,mRNA,13
kshv-miR-K12-12*,kshv-miRNA,ENSG00000178209_ENST00000354589_PLEC_mRNA,mRNA,13
kshv-miR-K12-12*,kshv-miRNA,ENSG00000178209_ENST00000345136_PLEC_mRNA,mRNA,13
kshv-miR-K12-12*,kshv-miRNA,ENSG00000178209_ENST00000354958_PLEC_mRNA,mRNA,13
kshv-miR-K12-12*,kshv-miRNA,ENSG00000178209_ENST00000398774_PLEC_mRNA,mRNA,13
kshv-miR-K12-12*,kshv-miRNA,ENSG00000178209_ENST00000356346_PLEC_mRNA,mRNA,13
kshv-miR-K12-12*,kshv-miRNA,ENSG00000242597_ENST00000469370_AL139240-1_pseudo,pseudogene,13
kshv-miR-K12-12*,kshv-miRNA,ENSG00000120063_ENST00000439174_GNA13_mRNA,mRNA,13
kshv-miR-K12-12*,kshv-miRNA,ENSG00000131236_ENST00000372805_CAP1_mRNA,mRNA,12
kshv-miR-K12-12*,kshv-miRNA,ENSG00000125695_ENST00000447001_STRADA_mRNA,mRNA,12
kshv-miR-K12-12*,kshv-miRNA,ENSG00000125695_ENST00000392950_STRADA_mRNA,mRNA,12
kshv-miR-K12-12*,kshv-miRNA,ENSG00000085662_ENST00000285930_AKR1B1_mRNA,mRNA,12
kshv-miR-K12-12*,kshv-miRNA,ENSG00000075624_ENST00000331789_ACTB_mRNA,mRNA,12
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000078_MirBase_miR-23a_microRNA,miRNA,12
kshv-miR-K12-12*,kshv-miRNA,ENSG00000198959_ENST00000361475_TGM2_mRNA,mRNA,12
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000419_MirBase_miR-27b_microRNA,miRNA,12
kshv-miR-K12-12*,kshv-miRNA,ENSG00000131236_ENST00000372792_CAP1_mRNA,mRNA,11
kshv-miR-K12-12*,kshv-miRNA,ENSG00000142541_ENST00000391857_RPL13A_mRNA,mRNA,11
kshv-miR-K12-12*,kshv-miRNA,ENSG00000169710_ENST00000306749_FASN_mRNA,mRNA,11
kshv-miR-K12-12*,kshv-miRNA,ENSG00000182827_ENST00000366812_ACBD3_mRNA,mRNA,11
kshv-miR-K12-12*,kshv-miRNA,ENSG00000166441_ENST00000314138_RPL27A_mRNA,mRNA,11
kshv-miR-K12-12*,kshv-miRNA,ENSG00000180479_ENST00000328550_ZNF571_mRNA,mRNA,11
kshv-miR-K12-12*,kshv-miRNA,ENSG_ENST_chr1-trna26-AsnGTT_tRNA,tRNA,11
kshv-miR-K12-12*,kshv-miRNA,ENSG_ENST_chr1-trna103-AsnGTT_tRNA,tRNA,11
kshv-miR-K12-12*,kshv-miRNA,ENSG_ENST_chr1-trna107-AsnGTT_tRNA,tRNA,11
kshv-miR-K12-12*,kshv-miRNA,ENSG_ENST_chr1-trna47-AsnGTT_tRNA,tRNA,11
kshv-miR-K12-12*,kshv-miRNA,ENSG00000135829_ENST00000367549_DHX9_mRNA,mRNA,10
kshv-miR-K12-12*,kshv-miRNA,ENSG00000144381_ENST00000345042_HSPD1_mRNA,mRNA,10
kshv-miR-K12-12*,kshv-miRNA,ENSG00000144381_ENST00000388968_HSPD1_mRNA,mRNA,10
kshv-miR-K12-12*,kshv-miRNA,ENSG00000215301_ENST00000399959_DDX3X_mRNA,mRNA,10
kshv-miR-K12-12*,kshv-miRNA,ENSG00000161960_ENST00000293831_EIF4A1_mRNA,mRNA,10
kshv-miR-K12-12*,kshv-miRNA,MIMAT0000255_MirBase_miR-34a_microRNA,miRNA,10
kshv-miR-K12-12*,kshv-miRNA,ENSG00000108298_ENST00000225430_RPL19_mRNA,mRNA,10
kshv-miR-K12-12*,kshv-miRNA,ENSG00000138326_ENST00000372360_RPS24_mRNA,mRNA,10
kshv-miR-K12-12*,kshv-miRNA,ENSG00000047315_ENST00000381227_POLR2B_mRNA,mRNA,10
kshv-miR-K12-12*,kshv-miRNA,ENSG00000105738_ENST00000222345_SIPA1L3_mRNA,mRNA,10
kshv-miR-K12-12*,kshv-miRNA,ENSG00000160688_ENST00000368431_FLAD1_mRNA,mRNA,9
kshv-miR-K12-12*,kshv-miRNA,ENSG00000140988_ENST00000343262_RPS2_mRNA,mRNA,9
kshv-miR-K12-12*,kshv-miRNA,ENSG00000186174_ENST00000334801_BCL9L_mRNA,mRNA,9
kshv-miR-K12-12*,kshv-miRNA,ENSG00000168209_ENST00000307365_DDIT4_mRNA,mRNA,9
kshv-miR-K12-12*,kshv-miRNA,ENSG00000115414_ENST00000336916_FN1_mRNA,mRNA,9
kshv-miR-K12-12*,kshv-miRNA,ENSG00000115414_ENST00000446046_FN1_mRNA,mRNA,9
kshv-miR-K12-12*,kshv-miRNA,ENSG00000115414_ENST00000357867_FN1_mRNA,mRNA,9
kshv-miR-K12-12*,kshv-miRNA,ENSG00000115414_ENST00000354785_FN1_mRNA,mRNA,9
