mirna,mirna_type,target,target_type,count
mirna,-,total,-,10263
kshv-miR-K12-10a,kshv_microRNA,MIMAT0000069_MirBase_miR-16_microRNA,miRNA,670
kshv-miR-K12-10a,kshv_microRNA,ENSG00000239776_ENST00000488123_AC079949-1_pseudo,pseudogene,398
kshv-miR-K12-10a,kshv_microRNA,ENSG00000240656_ENST00000494879_AC068594-1_pseudo,pseudogene,296
kshv-miR-K12-10a,kshv_microRNA,ENSG00000240155_ENST00000482877_AC114498-1_pseudo,pseudogene,183
kshv-miR-K12-10a,kshv_microRNA,ENSG00000241780_ENST00000469340_AC025627-7_pseudo,pseudogene,180
kshv-miR-K12-10a,kshv_microRNA,ENSG00000243163_ENST00000470405_AL353147-3_pseudo,pseudogene,161
kshv-miR-K12-10a,kshv_microRNA,ENSG00000242503_ENST00000481774_AL158819-4_pseudo,pseudogene,145
kshv-miR-K12-10a,kshv_microRNA,ENSG00000239935_ENST00000489202_AC116340-1_pseudo,pseudogene,119
kshv-miR-K12-10a,kshv_microRNA,ENSG00000241482_ENST00000473498_AC064836-1_pseudo,pseudogene,101
kshv-miR-K12-10a,kshv_microRNA,ENSG00000241781_ENST00000463508_AL161626-1_pseudo,pseudogene,98
kshv-miR-K12-10a,kshv_microRNA,kshv-miR-K12-3,kshv_microRNA,95
kshv-miR-K12-10a,kshv_microRNA,MIMAT0000646_MirBase_miR-155_microRNA,miRNA,92
kshv-miR-K12-10a,kshv_microRNA,MIMAT0000078_MirBase_miR-23a_microRNA,miRNA,91
kshv-miR-K12-10a,kshv_microRNA,MIMAT0000244_MirBase_miR-30c_microRNA,miRNA,61
kshv-miR-K12-10a,kshv_microRNA,MIMAT0000092_MirBase_miR-92a_microRNA,miRNA,61
kshv-miR-K12-10a,kshv_microRNA,MIMAT0004494_MirBase_miR-21*_microRNA,miRNA,54
kshv-miR-K12-10a,kshv_microRNA,MIMAT0000418_MirBase_miR-23b_microRNA,miRNA,51
kshv-miR-K12-10a,kshv_microRNA,ENSG00000239909_ENST00000496481_AC008541-1_pseudo,pseudogene,49
kshv-miR-K12-10a,kshv_microRNA,MIMAT0000084_MirBase_miR-27a_microRNA,miRNA,46
kshv-miR-K12-10a,kshv_microRNA,ENSG00000212544_ENST00000391242_U1_snRNA,snRNA,44
kshv-miR-K12-10a,kshv_microRNA,ENSG00000206737_ENST00000384010_U1_snRNA,snRNA,44
kshv-miR-K12-10a,kshv_microRNA,ENSG00000207340_ENST00000384610_U1_snRNA,snRNA,44
kshv-miR-K12-10a,kshv_microRNA,MIMAT0000259_MirBase_miR-182_microRNA,miRNA,44
kshv-miR-K12-10a,kshv_microRNA,MIMAT0000222_MirBase_miR-192_microRNA,miRNA,44
